"216１
音： ちょう,白鳥,はくちょう,thiên nga
,野鳥,やちょう,chim hoang dã
,鳥類,ちょうるい,loài chim
,鳥獣,ちょうじゅう,chim muông
"2189
N3",鳴,Minh,"Kêu, hót"
訓,（を）鳴らす,（を）ならす,bấm chuông
"2190
N2",鶏,Kê,Con gà
訓,鶏,にわとり,con gà
音： けい,鶏卵,けいらん,trứng gà
,鶏肉,けいにく,thịt gà
,養鶏,ようけい,nuôi gà
,闘鶏,とうけい,gà chọi
219１ N2,鶴,Hạc,Con hạc
訓,鶴,つる,con hạc
音： かく,鶴首,かくしゅ,đợi dài cổ
219２ N2,鹿,Lộc,Con hươu
訓,鹿,しか,con hươu nai
219３ N2,麗,Lệ,Đẹp
訓,麗しい,うるわしい,đẹp
,華麗,かれい,hoa lệ
音： れい,壮麗,そうれい,tráng lệ
,流麗,りゅうれい,"trôi chảy, lưu loát"
,典麗,てんれい,duyên dáng
219４ N2,麓,Lộc,Chân núi
訓,麓,ふもと,chân núi
音： ろく,岳麓,がくろく,chân núi
219５ N4,麦,Mạch,"Lúa mì, lúc mạch"
訓,麦,むぎ,"lúa mì, lúc mạch"
音： ばく,麦酒,ばくしゅ,bia
,麦芽,ばくが,mạch nha
,麦茶,ばくちゃ,trà lúa mạch
,米麦,べいばく,gạo và lúa mạch
"2196
N2",麺,Miến,"Mì, miến"
音： めん,麺類,めんるい,"bún, mì, miến"
,乾麺,かんめん,mì sợi khô
,冷麺,れいめん,mì lạnh
,製麺,せいめん,chế biến mì
"2197
N2",麻,Ma,"Cây gai, ma túy"
訓,麻,あさ,cây gai
音： ま,大麻,たいま,"cần sa, bồ đà"
,亜麻,あま,cây lanh
,麻袋,まぶくろ,túi bằng vải đay
"2198
N4",黄,Hoàng,Màu vàng
訓,黄色,きいろ,màu vàng
,黄金,こがね,tiền vàng
音： こう、おう,黄葉,こうよう,"lá đỏ, lá vàng"
,黄鉛,おうえん,màu vàng tươi
"2199
N5",黒,Hắc,Màu đen
訓,黒い,くろい,màu đen
音： こく,黒人,こくじん,người da đen
,黒海,こっかい,biển đen
,,,
,黒鉛,こくえん,than chì
,暗黒,あんこく,"tối, tối đen"
"2200
N3",黙,Mặc,Im lặng
訓,黙る,だまる,im lặng
音： もく,黙認,もくにん,"nhắm mắt làm ngơ, bao che ngầm"
,黙秘,もくひ,giữ im lặng
,沈黙,ちんもく,trầm mặc
,暗黙,あんもく,"yên lặng, trầm mặc"
220１ N2,鼓,Cổ,Cái trống
訓,鼓,つづみ,trống cơm
音： こ,太鼓,たいこ,"cái trống, trống lục lạc"
,鼓動,こどう,sự đập
,鼓吹,こすい,"cổ vũ, khích lệ"
,鼓膜,こまく,màng nhĩ
220２ N3,鼻,Tỵ,Cái mũi
訓,鼻,はな,cái mũi
音： び,鼻炎,びえん,viêm mũi
,鼻声,びせい,giọng mũi
,鼻孔,びこう,lỗ mũi
,耳鼻科,じびか,khoa tai mũi họng
220３ N2,斉,Tề,"Đều, đồng loạt"
音： せい,斉家,せいか,"tề gia, quản lý gia đình"
,斉唱,せいしょう,hòa âm
,一斉に,いっせいに,"cùng một lúc, đồng loạt"
,均斉,きんせい,"sự cân xứng, cân chỉnh"
,不斉,ふせい,"không theo quy luật,
không đối xứng"
220４ N2,斎,Trai,Ăn chay
音： さい,斎場,さいじょう,"nơi thờ cúng, phòng tang lễ"
,書斎,しょさい,phòng đọc sách
220５ N4,歯,Xỉ,Răng
訓,歯,は,răng
音： し,歯科医,しかい,bác sĩ nha khoa
,前歯,ぜんし,răng cửa
,乳歯,にゅうし,răng sữa
,犬歯,けんし,răng nanh
"2206
N4",齢,Linh,Tuổi tác
音： れい,年齢,ねんれい,tuổi
,老齢,ろうれい,tuổi già
,加齢,かれい,"thêm tuổi, thêm một tuổi"
,適齢,ていれい,độ tuổi phù hợp
,余齢,よれい,tuổi thọ trung bình
"2207
N3",竜,Long,Con rồng
訓,竜,たつ,con rồng
音： りゅう,竜王,りゅうおう,long vương
,竜宮,りゅうぐう,lâu đài dưới nước của long vương
,竜眼,りゅうがん,quả nhãn
,恐竜,きょうりゅう,khủng long
"2208
N3",亀,Qui,Con rùa
訓,亀,かめ,con rùa
音： き,亀裂,きれつ,"vết rạn nứt, đường nứt"
,亀鑑,きかん,"kiểu mẫu, mẫu mực"
,霊亀,れいき,linh quy
