"２４１
,南極,なんきょく,nam cực
,西南,せいなん,hướng tây nam
"２７３
N3",博,Bác,Uyên bác
音： はく,賭博,とばく,đánh bạc
,博士,はくし,thạc sĩ
,博愛,はくあい,lòng bác ái
,博物館,はくぶつかん,viện bảo tàng
,博覧会,はくらんかい,hội chợ triễn lãm
"２７４
N4",占,Chiếm,"Chiếm lĩnh, bói"
訓,占う,うらなう,"chiêm nghiệm, tiên đoán"
,占める,しめる,bao gồm
音： せん,占拠,せんきょ,chiếm lấy
,占領,せんりょう,chiếm giữ
,独占,どくせん,độc chiếm
２７５,卩,Bộ tiết,
"２７６
N4",印,Ấn,In ấn
訓,印,しるし,dấu hiệu
音： いん,印象,いんしょう,ấn tượng
,印鑑,いんかん,con dấu
,刻印,こくいん,chạm khắc
,調印,ちょういん,ký kết
,,,
,,,
"２７７
N5",危,Nguy,Nguy hiểm
訓,危ない,あぶない,sự phân biệt
,危うい,あやうい,nguy hiểm
,危ぶむ,くちょう,lo sợ
音： き,危険,きけん,nguy hiểm
,危害,きがい,nguy hại
"２７８
N4",卵,Noãn,Trứng
訓,卵,たまご,trứng
音： らん,卵黄,らんおう,lòng đỏ trứng
,卵白,らんぱく,lòng trắng trứng
,卵巣,らんそう,buồng trứng
,産卵,さんらん,đẻ trứng
"２７９
N3",却,Khước,Khước từ
訓,却って,かえって,ngược lại
音： きゃく,売却,ばいきゃく,sự bán đi
,冷却,れいきゃく,ướp lạnh
,脱却,だっきゃく,"thoát khỏi, vứt bỏ"
,返却,へんきゃく,"trả lại, hoàn trả"
"２８０
N2",即,Tức,"Ngay, tức thì"
訓,即ち,すなわち,có nghĩa là
音： そく,即座,そくざ,ứng khẩu
,即時,そくじ,tức thời
,即刻,そっこく,tức khắc
,即効,そっこう,hiệu ứng tức thời
"２８１
N3",巻,Quyển,"Cuốn, cuộn"
訓,巻く,まく,"cuốn, cuộn"
音： かん,一巻,いちかん,1 quyển sách
,下巻,げかん,âm lượng thấp
,上巻,じょうかん,tập truyện thứ nhất
,中巻,ちゅうかん,tập truyện thứ hai
"２８２
N2",卸,Tá,Bán sỉ
訓,卸す,おろす,bán buôn
,卸,おろし,buôn xỉ
,,,
２８３,厂,Bộ hán,
"２８４
N2",厄,Ách,Không may
音： やく,厄年,やくどし,năm không may mắn
,厄難,やくなん,"tai họa, điều xấu"
,厄介,やっかい,chuyện rắc rối
,大厄,たいやく,"tai họa, tai ương"
,災厄,さいやく,"bất hạnh, rủi ro"
"２８５
N2",厘,Ly,1/10 cm
音： りん,一厘,いちりん,"một chút, mốt ít"
,分厘,ふんりん,mẫu bé nhất
,厘毛,りんもう,món tiền nhỏ
,,,
"２８６
N4",厚,Hậu,Dày
訓,厚い,あつい,"dày, mặt dày"
