,弟子,でし,đệ tử
"６７１
N2",弦,Huyền,Dây cung
訓,弦,つる,dây cung
音： げん,弦歌,げんか,đàn hát
,弦楽器,げんがく,đàn dây
,下弦,かげん,cuối tháng
,管弦,かんげん,tiếng nhạc
"６７２
N2",弥,My,Tràn đầy
訓,弥生,やよい,tháng ba âm lịch
音： び,弥漫,びまん,lan tỏa
"６７３
N2",弧,Hồ,Hình cung
音： こ,円弧,えんこ,cung tròn
,励弧,れいこ,sự kích thích
,括弧,かっこ,dấu ngoặc đơn
"６７４
N5",弱,Nhược,Yếu
訓,弱い,よわい,"yếu, khốn quẫn"
,弱る,よわる,lúng túng
,弱める,よわめる,làm cho yếu
,弱まる,よわまる,yếu đi
音： じゃく,弱点,じゃくてん,"nhược điểm, điểm yếu"
,弱者,じゃくしゃ,người yếu
,弱体,じゃくたい,cơ thể mềm yếu
"６７５
N5",強,Cường,Mạnh
訓,強い,つよい,"mạnh, cưỡng bức"
,強いる,しいる,"mạnh, cưỡng bức"
,強める,つよめる,làm khỏe mạnh
,強まる,つよまる,khỏe lên
音： きょう、ごう,強化,きょうか,cường hóa
,強調,きょうちょう,nhấn mạnh
,強盗,ごうとう,cường đạo
"６７６
N5",張,Trương,Căng ra
訓,張る,はる,"căng, phình ra"
音： ちょう,主張,しゅちょう,"chủ trường, khăng khăng"
,伸張,しんちょう,sự mở rộng
,出張,しゅっちょう,đi công tác
"６７７
N4",弾,Đàn,"Viên đạn, đánh đàn"
訓,弾,たま,viên đạn
,（を）弾く,（を）ひく,đánh đàn
,弾む,はずむ,"nảy, rộn ràng"
,弾く,はじく,búng
音： だん,弾力,だんりょく,lực đàn hồi
,弾薬,だんやく,đạn dược
,爆弾,ばくだん,lực đàn hồi
"６７８
N3",彙,Vị,Từ vựng
音： い,彙報,いほう,tập san
,語彙,ごい,từ vựng
,,,
６７９,彡,Bộ sam,
"６８０
N5",形,Hình,Hình dạng
訓,形,かたち,"hình dáng, kiểu"
音： けい、ぎょう,形式,けいしき,hình thức
,形成,けいせい,hình thành
,形態,けいたい,hình thái
,人形,にんぎょう,búp bê
"６８１
N2",彩,Thái,Sắc thái
訓,彩る,いろどる,nhuộm màu
音： さい,色彩,しきさい,sắc thái
,多彩,たさい,nhiều màu sắc
,油彩,ゆさい,tra dầu vẽ
,精彩,せいさい,sự sáng chói
"６８２
N2",彫,Điêu,Điêu khắc
訓,彫る,ほる,"cẩn, khắc, chạm"
音： ちょう,彫金,ちょうきん,khắc kim loại
,彫刻,ちょうこく,điêu khắc
,彫像,ちょうぞう,khắc tượng
,彫塑,ちゅうそ,khắc và nặn
"６８３
N2",彰,Chương,Khen thưởng
音： しょう,表彰,ひょうしょう,bằng khen
,顕彰,けんしょう,sự khen thưởng
,,,
