"1361
,瞬間,しゅんかん,"phút chốc, khoảng khắc, chốc lát, trong chớp mắt"
,瞬時,しゅんじ,"tức thì, thức khắc"
138５ N2,矛,Mâu,Mâu thuấn
訓,矛,ほこ,"mâu, kích, giáo"
音： む,矛盾,むじゅん,"mâu thuẫn, trái ngược"
"1386
N4",矢,Thỉ,Mũi tên
訓,矢,や,mũi tên
音： し,一矢,いっし,1 mũi tên
"1387
N5",知,Tri,"Biết, tri thức"
訓,（を）知る,（を）しる,biết
音： ち,知人,ちじん,người quen
,知識,ちしき,"tri thức, kiến thức, hiểu biết"
,知恵,ちえ,"trí tuệ, khôn ngoan, thông thái"
,通知,つうち,thông báo cho biết
"1388
N5",短,Đoản,Ngắn
訓,短い,みじかい,"chính trực, thành thực, ngay thẳng"
音： たん,短所,たんしょ,"sở đoản, nhước điểm"
,短歌,たんか,1 thể loại thơ Haiku
,短編,たんぺん,"thơ, truyện, phim ngắn"
,短気,たんき,nóng nảy
"1389
N2",矯,Kiểu,Sửa cho ngay
訓,（を）矯める,（を）ためる,"uốn nắn, sửa cho thẳng"
音： きょう,矯正,きょうせい,"uốn thẳng, chỉnh thẳng"
,矯激,きょうげき,quá khích
,矯風,きょうふう,"cải cách, sửa đổi (đạo đức)"
,奇矯,ききょう,"kỳ dị, kỳ quặc, lập dị, quái gở"
"1390
N5",石,Thạch,Viên đá
訓,石,いし,"thông tin tổng của dân số,
chính trị văn hóa của tỉnh"
音： せき、しゃく,化石,かせき,hóa thạch
,宝石,ほうせき,"đá quý, ngọc, bảo thạch"
,土石,どせき,đất đá
,磁石,じしゃく,"nam châm, sắt từ"
"1391
N5",研,Nghiên,"Nghiên cứu, tìm tòi"
訓,（を）研ぐ,（を）とぐ,"mài giũa, chà xát, vo (gạo)"
音： けん,研究,けんきゅう,"nghiên cứu, tìm tòi"
,研修,けんしゅう,"đào tạo, huấn luyện, thử việc"
,研磨,けんま,"mài dũa, đánh bóng, rèn giũa, rèn luyện"
,技研,ぎけん,"viện nghiên cứu kỹ thuật, viết tắt của 技術研究所"
"1392
N3",砂,Sa,Cát
訓,砂,すな,"làm ngắn gọn, giản lược, lược bỏ"
音： さ、じゃ,砂糖,さとう,đường ăn
,砂上,さじょう,trên cát
,砂岩,さがん,"đá sa thạch, đá cát kết"
,砂利,じゃり,sỏi
"1393
N2",砕,Toái,Bẻ vụn
訓,（を）砕く,（を）くだく,"phá vỡ, đập vỡ, xay"
,（が）砕ける,（が）くだける,"bị vỡ, tan vỡ"
音： さい,玉砕,ぎょくさい,hi sinh oanh liệt
,粉砕,ふんさい,"nghiền nát, đập nát"
音： は,（が）破れる,（が）やぶれる,rách
,（を）破く,（を）やぶく,xé
,（が）破ける,（が）やぶける,"bị xé, bị rách"
,破産,はさん,"phá sản, vỡ nợ"
CÔ GUỘT TỰ BỔ SUN,砲,Pháo,"Súng, súng lớn"
,砲弾,ほうだん,"đạn pháo, pháo đạn"
,大砲,たいほう,đại bác
,発砲,はっぽう,"nổ súng, nã đạn"
,鉄砲,てっぽう,súng
"1396
N3",硬,Ngạnh,"Cứng, ương ngạnh"
訓,硬い,かたい,cứng
,硬貨,こうか,"tiền xu, đồng xu, tiền kim loại"
音： こう,硬派,こうは,đảng phải theo đường lối cứng rắn
,硬直,こうちょく,"suy nghĩ cứng rắn, co thắt, cương trực"
,強硬,きょうこう,"ngoan cường, cứng rắn, kiên quyết, kiên định"
"1397
N2",硝,Tiêu,Muối diêm
音： しょう,硝煙,しょうえん,"khói súng, khói bom đạn"
,硝石,しょうせき,điêm tiêu (KNO3)
,硝薬,しょうやく,thuốc súng
,硝子,しょうし,thủy tinh
"1398
N2",硫,Lưu,Lưu huỳnh
音： りゅう,硫化,りゅうか,lưu hóa (Dùng trong luyện cao su)
,硫酸,りゅうさん,axit sunfuric (H2SO4)
,硫安,りゅうあん,"amoni sunfat, phân đạm"
,*硫黄,いおう,lưu huỳnh
,,,
