"１２０１
音： かい,潰滅,かいめつ,sự phá hủy
,倒潰,とうかい,"sụp, sập, sụp đổ, vỡ vụn"
,,,
"１２２３
N3",激,"Khích, Kích",Dữ dội
訓,激しい,はげしい,"Mãnh liệt, dữ dội"
音： げき,刺激,しげき,sự kích thích
,急激,きゅうげき,"kịch liệt, quyết liệt"
,激動,げきどう,"biến động, thay đổi"
,激変,げきへん,"sự nổi lên, dấy lên"
"１２２４
N2",濁,Trọc,Vẩn đục
訓,（を）濁す,（を）にごす,làm đục
,（が）濁る,（が）にごる,bị đục
音： だく,濁音,だくおん,âm đục
,汚濁,おだく,"sự ô uế, sự bẩn thỉu"
,混濁,こんだく,"khuấy đục, làm đục"
"１２２５
N4",濃,Nồng,Đậm đặc
訓,濃い,こい,"đậm đặc, gần gũi, dày, đậm"
音： のう,濃度,のうど,nồng độ
,濃厚,のうこう,"nặng tình, nồng hậu"
,濃淡,のうたん,sự đậm nhạt
,濃密,のうみつ,"dày đặc, đặc sệt"
"１２26
N5",濯,Trạc,"Rửa, giặt, súc"
訓,（を）濯ぐ,（を）すすぐ,"súc, rữa, giũ, nhuộm"
,（を）濯ぐ,（を）ゆすぐ,"súc, rữa, giũ, nhuộm"
音： たく,洗濯,せんたく,giặt giữ
,,,
,,,
"１２27
N2",濫,Lạm,"Đầy tràn, quá mức"
音： らん,濫伐,らんばつ,chặt phá bừa bãi
,濫用,らんよう,sự lạm dụng
,濫作,らんさく,sản xuất quá độ
,濫費,らんぴ,phung phí
,濫造,らんぞう,sản xuất thừa
"１２28
N2",瀬,Lại,Nước cạn
訓,瀬,せ,chổ nông
,瀬病,せびょう,bệnh cùi
,瀬戸,せと,eo biển
,,,
,,,
"１２29
N5",火,Hỏa,Lửa
訓,火,ひ,lửa
音： か,火事,かじ,cháy nhà
,火山,かざん,núi lửa
,火災,かさい,bị cháy
,消火,しょうか,cứu hỏa
１２30,,Bộ Hỏa,
"１２31
N3",灯,Đăng,Cái đèn
訓,（が）灯る,（が）ともる,được thắp sáng
音： とう,灯油,とうゆ,dầu hỏa
,灯台,とうだい,đèn pha
,電灯,でんとう,đèn điện
,点灯,てんとう,sự chiếu sáng
"１２32
N4",灰,Hôi,Tro
訓,灰,はい,tro tàn
音： かい,灰白,かいはく,"màu xám, xanh nhạt"
,灰分,かいぶん,tro hỏa táng
,灰色,かいしょく,"màu xám, xanh nhạt"
,,,
"１２33
N2",災,Tai,Tai họa
訓,災い,わざわい,tai họa
音： さい,災害,さいがい,"nạn, thảm họa"
,防災,ぼうさい,phòng chống thiên tai
,天災,てんさい,thiên tai
,変災,へんさい,sự cố
"１２34
N2",炎,Viêm,Viêm nhiễm
訓,炎,ほのお,sự đốt cháy
音： えん,炎症,えんしょう,chổ bị viêm
,肝炎,かんえん,bệnh viêm gan
,肺炎,はいえん,"sưng phổi, viêm phổi"
,鼻炎,びえん,viêm mũi
"１２35
N3",炊,Xúy,"Nấu cơm, đốt lửa"
訓,（を）炊く,（を）たく,nấu cơm
音： すい,炊飯器,すいはんき,nồi nấu cơm
,炊事,すいじ,việc bếp núc
,自炊,じすい,tự nấu ăn
,雑炊,ぞうすい,canh thập cẩm
"１２36
N2",炉,Lô,Lò lửa (sưởi)
音： ろ,火炉,かろ,cái lò
,香炉,こうろ,"bình hương, đỉnh, lư"
,暖炉,だんろ,lò sưởi
,転炉,てんろ,lò quay
,電気炉,でんきろ,lò sưởi điện
"１２37
N5",点,Điểm,"Điểm số, dấu chấm"
音： てん,点数,てんすう,điểm số
,得点,とくてん,"tỷ số, tính điểm"
,時点,じてん,thời điểm
,視点,してん,"điểm nhìn, quan điểm"
,焦点,しょうてん,tiêu điểm
"１２38
N2",炭,Than,Than đốt
訓,炭,すみ,than
音： たん,炭坑,たんこう,mỏ than
,石炭,せきたん,"than cục, than đá"
,木炭,もくたん,than củi
,二酸化炭素,にさんかたんそ,khí CO2
"１２39
N2",為,Vi,Hành vi
訓,為,ため,"bởi vì, mục đích"
音： い,行為,こうい,"hành vi, hành động"
,人為,じんい,"nghệ thuật, tính chất nhân tạo"
,作為,さくい,hành vi
,営為,えいい,"việc làm ăn, kinh doanh"
"１２40
N2",烈,Liệt,Mãnh liệt
音： れつ,烈士,れっし,liệt sĩ
,猛烈,もうれつ,mãnh liệt
,強烈,きょうれつ,"chói chang, quyết liệt"
,熱烈,ねつれつ,nhiệt liệt
,激烈,げきれつ,khốc liệt
"１２４１
N4",焼,Thiêu,Nướng
訓,（を）焼く,（を）やく,"nướng, đốt cháy"
,（が）焼ける,（が）やける,"được nướng, bị cháy"
音： しょう,焼却,しょうきゃく,sự thiêu đốt
,全焼,ぜんしょう,sự thiêu trụi hoàn toàn
,延焼,えんしょう,lửa cháy lan
"１２４２
N4",然,Nhiên,Tự nhiên
音： ぜん、ねん,全然,ぜんぜん,hoàn toàn
,当然,とうぜん,đương nhiên
,必然,ひつぜん,tất nhiên
,依然,いぜん,"đã, rồi, như cũ, như thế"
,天然,てんねん,thiên nhiên
"１２４３
N4",無,Vô,Không
訓,（を）無くす,（を）なくす,làm mất
,（が）無くなる,（が）なくなる,"mất, hết"
音： む、ぶ,無理,むり,quá sức
,無料,むりょう,miễn phí
,無事,ぶじ,vô sự
"１２４４
N3",煮,Chử,"Nấu,ninh, hầm"
訓,（を）煮る,（を）にる,nấu
音： しゃ,煮沸,しゃふつ,sự sôi
,,,
,,,
,,,
"１２４５
N2",焦,Tiêu,Cháy khét
訓,（を）焦がす,（を）こがす,làm cháy
,（が）焦げる,（が）こげる,bị khét
,（が）焦る,（が）あせる,cuống cuồng vội vã
音： しょう,焦慮,しょうりょ,"sự sốt ruột, nôn nóng"
,焦燥,しょうそう,"nóng vội, nóng nảy"
"１２46
N2",照,Chiếu,Chiếu sáng
訓,（を）照らす,（を）てらす,chiếu
,（が）照る,（が）てる,được chiếu sáng
,（が）照れる,（が）てれる,ngượng ngùng
音： しょう,対照,たいしょう,đối chiếu
,参照,さんしょう,tham khảo
"１２47
N4",煙,Yên,Khói
訓,煙,けむり,khói
,煙い,けむい,ngạt khói
,（に）煙る,（に）けむる,"có khói, bốc khói"
音： えん,喫煙,きつえん,được hút thuốc
,禁煙,きんえん,cấm hút thuốc
"１２48
N2",煩,Phiền,Lo âu
訓,（を）煩わす,（を）わずらわす,làm thấp thỏm
,煩う,わずらう,"khó…., đau khổ"
,煩わしい,わずらわしい,"phiền muộn, ngán ngẩm"
音： はん、ぼん,煩雑,はんざつ,gây bực mình
,煩忙,はんぼう,sự bận rộn
,煩悩,ぼんのう,"phiền não, chấp niệm xấu"
"１２49
N2",煎,Tiễn,"Sắc, đun kỹ"
訓,（を）煎る,（を）いる,"rang, đảo, pha"
音： せん,煎茶,せんちゃ,chè xanh
,煎餅,せんべい,bánh chiên giòn
,,,
,,,
"１２50
N2",熊,Hùng,Con gấu
,熊,くま,con gấu
,,,
訓,,,
,,,
,,,
"１２51
N4",熱,Nhiệt,"Nóng, bị sốt"
訓,熱い,あつい,"nóng, sốt"
音： ねつ,熱心,ねっしん,nhiệt tâm
,熱帯,ねったい,nhiệt đới
,発熱,はつねつ,sự phát nhiệt
,加熱,かねつ,"sự đốt nóng, sự đun nóng"
"１２52
N2",熟,Thục,"Kỹ càng, chín"
訓,（が）熟れる,（が）うれる,"chín (hoa, quả)"
音： じゅく,熟語,じゅくご,"thành ngữ, tục ngữ"
,熟練,じゅくれん,"kĩ năng, độ thành thục"
,未熟,みじゅく,chưa có kinh nghiệm
,成熟,せいじゅく,sự thành thục
"１２53
N4",燃,Nhiên,"Nhiên liệu, đốt"
訓,（を）燃やす,（を）もやす,đốt
,（を）燃す,（を）もす,thiêu đốt
,（に）燃える,（に）もえる,"bốc hỏa, nung nấu"
音： ねん,燃料,ねんりょう,nhiên liệu
,燃焼,ねんしょう,sự đốt cháy
"１２54
N2",燥,Táo,Khô
音： そう,乾燥,かんそう,sự khô khan
,高燥,こうそう,nới cao ráo
,,,
,,,
,,,
"１２55
N2",爆,Bộc,Nổ tung
,爆発,ばくはつ,"vụ nổ, sự bộc phát"
音： ばく,爆撃,ばくげき,sự ném bom
,爆破,ばくは,làm nổ tung
,爆音,ばくおん,tiếng nổ
,原爆,げんばく,bom nguyên tử
"１２56
N2",爪,Trảo,Móng vuốt
訓,爪,つめ,"móng, móng vuốt"
,爪先,つまさき,đầu ngón chân
