"1041
N4",械,Giới,Máy móc
音： かい,機械,きかい,máy móc
,器械,きかい,dụng cụ
,,,
"1042
N2",梗,Ngạnh,Xơ cứng
音： こう,梗概,こうがい,"tóm lược, bản tóm tắt"
,脳梗塞,のうこうそく,nhồi máu não
,*桔梗,ききょう,cây Cát Cánh (1 họ hoa Chuông)
"1043
N2",梨,Lê,Quả Lê
訓,梨,なし,quả lê
音： り,梨花,りか,hoa Lê
,梨園,りえん,vườn Lê
"1044
N5",森,Sâm,Rừng rậm
訓,森,もり,rừng rậm
音： しん,森閑,しんかん,"yên lặng, tĩnh mịch"
,森厳,しんげん,trang nghiêm
,,,
"1045
N4",植,Thực,"Thực vật, trồng"
訓,（を）植える,（を）うえる,trồng …
,（が）植わる,（が）うわる,mọc
音： しょく,植物,しょくぶつ,thực vật
,移植,いしょく,cấy ghép
,入植,にゅうしょく,nhập cư
"1046
N2",極,Cực,"Rất, cực đỉnh"
訓,（を）極める,（を）きわめる,"nâng cao, rèn luyện, bồi dưỡng"
,（が）極まる,（が）きわまる,"cùng cực, kết thúc, điểm cuối"
音： きょく、ごく,極端,きょくたん,cực đoan
,積極,せっきょく,tích cực
,極楽,ごくらく,"thiên đường, cỗi cực lạc"
"1047
N3",検,Kiểm,Kiểm tra
音： けん,検診,けんしん,kiểm tra sức khỏe
,検察,けんさつ,"kiểm sát, giám sát"
,検討,けんとう,"thảo luận, bàn bạc, xem xét"
,検問,けんもん,hỏi kiểm tra (tài xế)
,点検,てんけん,"kiểm điểm, kiểm tra"
"1048
N4",棒,Bổng,Cây Gậy
音： ぼう,泥棒,どろぼう,"kẻ trộm, kẻ cắp"
,鉄棒,てつぼう,"gậy sắt, xà"
,警棒,けいぼう,dùi cui
,綿棒,めんぼう,bông ngoái tai
,相棒,あいぼう,"cộng sự, đồng bọn"
"1049
N2",棋,Kỳ,Con cờ
音： き,棋士,きし,"kỳ thủ cờ vây, người chơi cờ vây"
,棋風,きふう,phong cách chơi cờ
,棋界,きかい,giới chơi cờ
,棋道,きどう,nghệ thuật chơi cờ
,将棋,しょうぎ,cờ tưởng kiểu Nhật
"1050
N2",棺,Quan,Quan tài
音： かん,納棺,のうかん,"khâm liệm, nạp quan"
,石棺,せっかん,quan tài đá
,入棺,にゅうかん,"nhập quan, cho vào quan tài"
,出棺,しゅっかん,"xuất quan, đưa quan tài đi táng"
"1051
N4",棚,Bằng,Cái kệ
訓,棚,たな,cái kệ
,本棚,ほんだな,kệ sách
,,,
,,,
,,,
"1052
N2",棟,Đống,Dãy nhà
訓,棟,むね／むな,"nóc nhà, mái nhà"
音： とう,病棟,びょうとう,"phòng bệnh, bệnh viện"
,上棟,じょうとう,khung nhà
"1053
N2",椅,Ỷ,Cái ghế
音： い,椅子,いす,cái ghế
,,,
"1054
N2",椎,Chùy,"Nện, đánh"
音： つい,椎骨,ついこつ,"đốt sống, Xương cột sống"
,腰椎,ようつい,đốt sống ở thắt lưng
,,,
"1055
N5",楽,"Lạc, nhạc","Vui vẻ, âm nhạc"
訓,楽しい,たのしい,vui vẻ
,（を）楽しむ,（を）たのしむ,"vui vẻ, thưởng thức, thích thú"
音： がく、らく,声楽,せいがく,thanh nhạc
,弦楽,げんがく,nhạc cụ dây
,気楽,きらく,"thoải mái, dễ chịu, nhẹ nhõm"
"1056
N5",業,Nghiệp,Sự nghiệp
訓,業,わざ,"kỹ năng, kỹ thuật"
音： ぎょう,業務,ぎょうむ,"nghiệp vụ, công việc đảm nhận"
,事業,じぎょう,kinh doanh
,作業,さぎょう,làm việc
,工業,こうぎょう,công nghiệp
"1057
N2",棄,Khí,"Bỏ đi, đầu hàng"
音： き,棄権,きけん,bỏ quyền lợi
,破棄,はき,bỏ đi
,投棄,とうき,"vứt bỏ, ném bỏ"
,放棄,ほうき,"bỏ rơi, vứt bỏ"
,遺棄,いき,bỏ rơi
"1058
N2",楼,Lâu,Nhà lầu
音： ろう,楼閣,ろうかく,tòa tháp
,楼門,ろうもん,cổng tháp
,鐘楼,しょうろう,tháp chuông
,望楼,ぼうろう,tháp canh
,高楼,こうろう,"nhà cao tầng, nhà chọc trời"
"1059
N2",楷,Giai,Nét chữ đẹp
音： かい,楷書,かいしょ,"nét viết tiêu chuẩn, font chữ chuẩn"
,,,
"1060
N4",様,Dạng,Tình trạng
訓,様々,さまざま,"đa dạng, phong phú"
音： よう,様式,ようしき,biểu mẫu
,同様,どうよう,"giống, tương tự"
,多様,たよう,đa dạng
,模様,もよう,hoa văn
"1061
N3",構,Cấu,Cấu tạo
訓,（を）構える,（を）かまえる,"vào vị trí, vào tư thế, kề (dao)"
,（に）構う,（に）かまう,"chăm sóc, để tâm"
音： こう,構造,こうぞう,"cấu tạo, cấu trúc, cơ cấu"
,結構,けっこう,"kết cấu, cấu trúc,tốt, được, khá là"
,機構,きこう,"cơ cấu, tổ chức, cấu tạo"
"1062
N2",模,Mô,Quy mô
音： も、ぼ,模範,もはん,"kiểu mẫu, mô hình"
,模型,もけい,"mô hình, khuôn mẫu"
,模写,もしゃ,sao chép
,模造,もぞう,"làm theo mẫu, mô phỏng"
,規模,きぼ,quy mô
"1063
N2",概,Khái,Khái quát
音： がい,概念,がいねん,khái niệm
,概略,がいりゃく,"tóm tắt, khái quát, sơ lược"
,概算,がいさん,"ước tính, tính sơ bộ"
,概要,がいよう,"khái quát, tổng quát"
,気概,きがい,"kiên cường, khí khái"
"1064
N4",横,Hoành,Chiều ngang
訓,横,よこ,"chiều ngang, hàng ngang"
音： おう,横断,おうだん,"băng qua, qua đường"
,横領,おうりょう,"tham ô, biển thủ"
,横転,おうてん,"đổ ngang, lật ngửa"
,横行,おうこう,"đi ngang (như cua), ngang ngược"
"1065
N3",標,Tiêu,Mục tiêu
音： ひょう,標識,ひょうしき,biển báo
,標準,ひょうじゅん,tiêu chuẩn
,標本,ひょうほん,"tiêu bản, mẫu vật"
,目標,もくひょう,mục tiêu
,指標,しひょう,"chỉ tiêu, chỉ số, tiêu chí"
"1066
N2",権,Quyền,Quyền lợi
音： けん,権利,けんり,quyền lợi
,権力,けんりょく,quyền lực
,人権,じんけん,nhân quyền
,政権,せいけん,chính quyền
,特権,とっけん,đặc quyền
"1067
N2",槽,Tào,Cái thùng (máng)
音： そう,水槽,すいそう,"thùng nước, bể nước, bồn nước"
,浴槽,よくそう,"bồn tắm, bể tắm"
,歯槽,しそう,lỗ chân răng
,油槽,ゆそう,"thùng dầu, bể dầu"
,浄化槽,じょうかそう,"hố gas, bể lọc nước thải,
hố rác tự hoại"
"1068
N4",橋,Kiều,Cây cầu
訓,橋,はし,cây cầu
音： きょう,鉄橋,てっきょう,cầy sắt thép
,架橋,かきょう,liên kết chéo
,陸橋,りっきょう,"cầu vượt, cầu chui"
,歩道橋,ほどうきょう,cầu qua đường cho người đi bộ
"1069
N4",機,Cơ,Máy móc
訓,機,はた,máy dệt
音： き,機会,きかい,"cơ hội, dịp"
,機能,きのう,"cơ năng, chức năng, tính năng"
,危機,きき,nguy cơ
,動機,どうき,"động cơ, nguyên nhân"
"1070
N2",樹,Thụ,Cây to
音： じゅ,樹立,じゅりつ,"thành lập, tạo ra, tạo nên"
,樹脂,じゅし,"nhựa cây, chất dẻo"
,植樹,しょくじゅ,trồng cây
,果樹,かじゅ,cây ăn quả
,大樹,たいじゅ,"cây cổ thụ, đại thụ"
"1071
N2",欄,Lan,"Lan can, cột (báo)"
音： らん,欄干,らんかん,"lan can, tay vịn ở cầu thang"
,欄外,らんがい,lề sách vở
,本欄,ほんらん,khung chính
,空欄,くうらん,cột trống
,広告欄,こうこくらん,"mục quảng cáo, cột quảng cáo"
"1072
N5",欠,Khiếm,Thiếu
訓,（を）欠く,（を）かく,thiếu
,（が）欠ける,（が）かける,"thiếu, 1 phần vật cứng bị hỏng"
,（を）欠かす,（を）かかす,"thiếu sót, khiếm khuyết"
音： けつ,欠点,けってん,khuyết điểm
,補欠,ほけつ,"bổ sung, dự bị"
"1073
N4",次,Thứ,Kế tiếp
訓,（に）次ぐ,（に）つぐ,"sau, tiếp theo"
,次に,つぎに,kế tiếp
音： じ、し,次官,じかん,thứ trưởng
,次第,しだい,"thứ tự, do bởi, phụ thuộc"
,目次,もくじ,mục lục
"1074
N2",欧,Âu,Châu âu
音： おう,欧米,おうべい,Âu Mỹ
,東欧,とうおう,Đông Âu
,西欧,せいおう,Tây Âu
,南欧,なんおう,Nam Âu
,北欧,ほくおう,Bắc Âu
"1075
N5",欲,Dục,"Ao ước, muốn"
訓,欲しい,ほしい,muốn (có)
,（を）,（を）ほっする,"mong muốn, khát khao"
音： よく,欲望,よくぼう,"dục vọng, khao khát, thèm muốn"
,欲求,よっきゅう,"khao khát, mong muốn, mong mỏi"
,食欲,しょくよく,thèm ăn
"1076
N2",欺,Khi,Lừa dối
