訓,（を）欺く,（を）あざむく,"lừa dối, gạt, gạ gẫm"
音： ぎ,詐欺,さぎ,lừa đảo
,,,
"1077
N2",款,Khoản,Điều khoản
音： かん,款待,かんたい,sự hiếu khách
,約款,やっかん,điều khoản
,定款,ていかん,điều lệ
,借款,しゃっかん,khoản vay
,落款,らっかん,"ký tên, đóng dấu"
"1078
N5",歌,Ca,Hát
訓,歌,うた,bài hát
,（を）歌う,（を）うたう,hát
音： か,歌人,かじん,ca sỹ
,国歌,こっか,quốc ca
,短歌,たんか,một loại thơ Haiku
"1079
N2",歓,Hoan,Hoan nghêng
音： かん,歓迎,かんげい,"hoan nghêng, tiếp đón, chào mừng"
,歓声,かんせい,hoan hô
,歓喜,かんき,"hoan hỉ, vui mừng"
,歓送,かんそう,"đưa tiễn, từ biệt"
,交歓,こうかん,"giao lưu, liên hoan"
"1080
N5",止,Chỉ,Dừng lại
訓,（を）止める,（を）とめる,dừng lại
,（が）止まる,（が）とまる,dừng lại
,（を）止める,（を）やめる,"bỏ, từ bỏ, nghỉ"
,（が）止む,（が）やむ,"ngừng, tạnh"
,（を）止す,（を）よす,"dừng, ngừng"
音： し,防止,ぼうし,"phòng ngừa, đề phòng"
,休止,きゅうし,"tạm ngừng, tạm nghỉ"
"1081
N5",正,Chính,Chính xác
訓,（を）正す,（を）ただす,"sửa cho đúng, uốn nắn"
,正しい,ただしい,"chính xác, đúng"
,正に,まさに,"quả đúng là, quả thật là"
音： せい、しょう,正当,せいとう,"chính đáng, hợp lý, đúng đắn"
,正面,しょうめん,chính diện
"1082
N5",歩,Bộ,Đi bộ
訓,（を）歩く,（を）あるく,đi bộ
,（を）歩む,（を）あゆむ,bước đi
音： ほ、ぶ,譲歩,じょうほ,nhượng bộ
,進歩,しんぽ,tiến bộ
,歩合,ぶあい,"tỷ giá, tỷ suất, phầm trăm"
"1083
N2",武,"Vũ, Võ",Vũ lực
音： ぶ,武器,ぶき,vũ khí
,武力,ぶりょく,vũ lực
,武士,ぶし,võ sỹ
,武装,ぶそう,vũ trang
,武功,ぶこう,võ công
"1084
N4",歳,Tuế,"Tuổi, năm"
音： さい、ざい、せい,歳入,さいにゅう,doanh thu
,歳出,さいしゅつ,"chi phí, chi tiêu"
,何歳,なんさい,mấy tuổi
,万歳,ばんざい,"hoan hô, muôn năm"
,歳暮,せいぼ,quà tết
"1085
N3",歴,Lịch,"Lịch sử, lý lịch"
音： れき,学歴,がくれき,"quá trình học, trình độ học vấn"
,職歴,しょくれき,"lý lịch làm việc, kinh nghiệm công tác"
,経歴,けいれき,"lý lịch, quá trình làm việc"
,略歴,りゃくれき,tiểu sử vắn tắt
,来歴,らいれき,"lai lịch, lý lịch"
1086,歹,Bộ Ngạt,
"1087
N5",死,Tử,Chết
訓,（が）死ぬ,（が）しぬ,chết
音： し,死体,したい,"thi thể, xác chết"
,死者,ししゃ,người chết
,死因,しいん,nguyên nhân chết
,生死,せいし,"sinh tử, sống chết"
"1088
N5",残,Tàn,Còn lại
訓,（を）残す,（を）のこす,"chừa lại, để lại"
,（が）残る,（が）のこる,còn lại
音： ざん,残業,ざんぎょう,tăng ca
,残雪,ざんせつ,tuyết còn lại
,残金,ざんきん,tiền dư
"1089
N2",殊,Thù,Đặc thù
訓,殊に,ことに,đặc biệt là
音： しゅ,殊勲,しゅくん,nhận huân chương
,殊勝,しゅしょう,"đáng quý, đáng khen"
,殊遇,しゅぐう,đãi ngộ đạc biệt
,特殊,とくしゅ,"đặc thù, đạc biệt"
"1090
N2",殉,Tuẫn,Tự hi sinh
音： じゅん,殉教,じゅんきょう,"chết vì nghĩa, tử vì đạo"
,殉職,じゅんしょく,chết khi làm nhiệm vụ
,殉難,じゅんなん,tử vì đạo
,殉国,じゅんこく,hi sinh vì tổ quốc
,殉死,じゅんし,chết theo chủ nhân
"1091
N2",殖,Thực,"Sinh sôi, tăng"
訓,（を）殖やす,（を）ふやす,làm tăng lên
,（が）殖える,（が）ふえる,tăng lên
音： しょく,殖民地,しょくみんち,thuộc địa
,増殖,ぞうしょく,tăng lên
,養殖,ようしょく,nuôi dương (hải sản)
1092,殳,Bộ Thù,
"1093
N3",殴,Ẩu,Đánh nhau
訓,（を）殴る,（を）なぐる,"đánh, đấm"
音： おう,殴打,おうだ,"đánh nhau, ẩu đả"
,殴殺,おうさつ,đánh chết
"1094
N4",段,Đoạn,"Bậc thang, nấc"
音： だん,段階,だんかい,"giai đoạn, bước"
,段落,だんらく,đoạn văn
,階段,かいだん,cầu thang
,特段,とくだん,đặc biệt
,前段,ぜんだん,"đoạn trước, phần trước"
"1095
N3",殺,Sát,Giết
訓,（を）殺す,（を）ころす,giết
音： さつ、せつ、さい,殺人,さつじん,"sát nhân, kẻ giết người"
,殺害,さつがい,giết hại
,殺生,せっしょう,sát sinh
,減殺,げんさい,"giảm bớt, hà bớt"
"1096
N2",殻,Xác,Vỏ cứng
訓,殻,から,"vỏ, lớp bao ngoài, vỏ cứng"
音： かく,地殻,ちかく,vỏ trái đất
,外殻,がいかく,lớp vỏ bên ngoài
,甲殻,こうかく,"động vật giáp xác, lớp giáp xác"
,卵殻,らんかく,vỏ trứng
"1097
N2",殿,Điện,Cung điện
訓,殿,との／どの,"cung điện, lâu đài"
,殿下,でんか,điện hạ (gọi cho hoàng thất)
音： でん、てん,神殿,しんでん,"thận điện, đền thờ"
,宮殿,きゅうでん,cung điện
,御殿,ごてん,dinh thự
"1098
N2",毀,Hủy,Hư hỏng
訓,（を）毀す,（を）こわす,phòng thủ
,（が）毀れる,（が）こわれる,bị sứt mẻ
音： き,毀損,きそん,hư hại
,毀誉,きよ,khen ngợi
,破毀,はき,"phá hủy, hủy"
1099,毋,Bộ Vô,
"1100
N5",母,Mẫu,Mẹ
訓,母,はは,mẹ (tôi)
,お母さん,おかあさん,"mẹ (người khác), dùng gọi mẹ"
音： ぼ,母語,ぼご,tiếng mẹ đẻ
,母校,ぼこう,trường cũ
,父母,ふぼ,cha mẹ
"1101
N5",毎,Mỗi,"Mỗi, các"
訓,毎に,ごとに,cứ mỗi lần
音： まい,毎週,まいしゅう,mỗi tuần
,毎回,まいかい,mỗi lần
,毎朝,まいあさ,mỗi sáng
,毎日,まいにち,mỗi ngày
"1102
N2",毒,Độc,Chất độc
音： どく,毒悪,どくあく,"độc ác, khinh khủng"
,毒性,どくせい,"độc tính, có tính độc"
,毒薬,どくやく,"thuốc độc, chất độc"
,消毒,しょうどく,"khử độc, tiêu độc, khử trùng"
,中毒,ちゅうどく,"trúng độc, nhiễm độc, ngộ độc"
"1103
N4",比,Tỷ,"So sánh, tỷ lệ"
訓,（と）比べる,（と）くらべる,so sánh
音： ひ,比例,ひれい,tỷ lệ
,比率,ひりつ,"tỷ suất, tỷ lệ"
,比重,ひじゅう,"tỷ trọng, trọng lượng riêng"
,比熱,ひねつ,nhiệt dung riêng
"1104
N3",毛,Mao,"Lông, tóc"
訓,毛,け,"lông, tóc"
音： もう,毛布,もうふ,"chăn, mền"
,不毛,ふもう,cằn cỗi
,羽毛,うもう,lông vũ
,羊毛,ようもう,"lông cừu, len"
"1105
N3",氏,Thị,Họ (tên)
訓,氏,うじ,"họ (tên), Anh/ngài…"
音： し,氏名,しめい,họ và tên
,氏族,しぞく,"thị tộc, gia tộc, dòng họ"
,同氏,どうし,người đó
,両氏,りょうし,hai người
"1106
N3",民,Dân,Người dân
訓,民,たみ,"người dân, nhân dân"
音： みん,民族,みんぞく,dân tộc
,民間,みんかん,"nhân gian, dân gian, dân chúng"
,住民,じゅうみん,"cư dân, người dân lưu trú"
,国民,こくみん,"quốc dân, dân chúng"
"1107
N5",気,Khí,Khí hậu
音： き、け、げ,気分,きぶん,"tâm trạng, cảm giác"
,大気,たいき,"không khí, khí quyển"
,人気,にんき,"được yêu mến, ưu chuộng"
,気配,けはい,"cảm giác, cảm thấy, linh cảm"
,湯気,ゆげ,hơi nước
"1108
N5",水,Thủy,Nước
訓,水,みず,nước
音： すい,水産,すいさん,thủy sản
,水道,すいどう,"nước máy, đường ống nước"
,排水,はいすい,"nước thải, thoát nước"
,断水,だんすい,mất nước
1109,氵,Bộ Thủy,
"1110
N4",氷,Băng,"Băng, nước đá"
訓,（が）氷る,（が）こおる,"đóng băng, đông đá"
,氷,こおり,"băng, nước đá"
音： ひょう,氷山,ひょうざん,"tảng băng trôi, núi băng trôi"
,氷原,ひょうげん,"cánh đồng băng, cánh đồng tuyết"
,流氷,りゅうひょう,băng trôi
,,,
"1111
N2",永,Vĩnh,Lâu dài
訓,永い,ながい,"dài, dài lâu"
音： えい,永久,えいきゅう,"vĩnh cửu, mãi mài"
,永遠,えいえん,"vĩnh viễn, mãi mãi"
,永住,えいじゅう,"viễn trú, sống luôn ở 1 nơi"
,永続,えいぞく,kéo dài
"1112
N2",汁,Chấp,"Nước cốt, súp"
訓,汁,しる,"súp, nước cốt"
音： じゅう,果汁,かじゅう,nước ép trái cây
,液汁,えきじゅう,nước ép
,乳汁,にゅうじゅう,sữa
,墨汁,ぼくじゅう,mực tàu
"1113
N2",氾,Phiếm,Tràn lan
音： はん,氾濫,はんらん,"tràn lan, tràn ngập"
,,,
"1114
N4",池,Trì,Cái ao
訓,池,いけ,cái ao
音： ち,電池,でんち,pin
,印池,いんち,hộp mực dấu
,,,
,,,
"1115
N5",汚,Ô,Dơ bẩn
訓,汚い,きたない,dơ bẩn
,（を）汚す,（を）よごす,"làm dơ, làm bẩn"
,（が）汚れる,（が）よごれる,"bị dơ, bị bẩn"
,汚らわしい,けがわらしい,"bẩn, bẩn thỉu, khó chịu"
,（を）汚す,（を）けがす,"làm bẩn, bôi nhọ,
làm hoen ố, vấy bẩn"
,（が）汚れる,（が）けがれる,"bị bẩn; bị bôi nhọ,
bị vấy bẩn, dơ bẩn"
音： お,汚染,おせん,ô nhiễm
"1116
N4",汗,Hãn,Mồ hôi
訓,汗,あせ,mồ hôi
音： かん,発汗,はっかん,"chảy mồ hôi, ra mồ hôi"
,冷汗,れいかん,mồ hôi lạnh
,流汗,りゅうかん,chảy mồ hôi
,盗汗,とうかん,ra mồ hôi khi ngủ
"1117
N2",江,Giang,Sông lớn
訓,江戸,えど,tên cũ của Tokyo
音： こう,江山,こうざん,"núi sông, sông núi"
,長江,ちょうこう,Trường Giang - tên 1 con sông
,,,
,,,
"1118
N2",汎,Phiếm,Phù phiếm
音： はん,汎用,はんよう,đa dụng
,汎愛,はんあい,lòng bác ái
,汎論,はんろん,"nhận xét chung, phác thảo"
,広汎,こうはん,phạm vi rộng
,,,
"1119
N2",汽,Khí,Hơi nước
音： き,汽車,きしゃ,"tàu hỏa, tàu lửa"
,汽船,きせん,tàu thủy chạy bằng hơi nước
,汽笛,きてき,còi hơi
,汽水,きすい,nước lợ
,,,
"1120
N4",決,Quyết,Quyết định
訓,（を）決める,（を）きめる,quyết định
,（が）決まる,（が）きまる,được quyết định
,決して,けっして,nhất quyết … không
音： けつ,決定,けってい,quyết định
,解決,かいけつ,giải quyết
