"1841
,運賃,うんちん,tiền vận chuyển
,家賃,やちん,tiền nhà
,工賃,こうちん,"phí gia công, tiền công"
,電車賃,でんしゃちん,phí tàu điện
"1871
N2",賊,Tặc,Giặc cướp
音： ぞく,空賊,くうぞく,không tặc
,海賊,かいぞく,"hải tặc, cướp biển"
,盗賊,とうぞく,"đạo tặc, cướp"
,山賊,さんぞく,sơn tặc
,逆賊,ぎゃくぞく,nghịch tặc
"1872
N2",賄,Hối,Hối lộ
訓,（を）賄う,（を）まかなう,"chi trả, cung cấp"
音： わい,贈賄,ぞうわい,hối lộ
,収賄,しゅうわい,nhận hối lộ
"1873
N2",賂,Lộ,Hói lộ
音： ろ,賄賂,わいろ,hối lộ
"1874
N4",賞,Thưởng,Giải thưởng
,賞与,しょうよ,giải thưởng
,賞金,しょうきん,tiền thưởng
音： しょう,賞状,しょうじょう,bằng khen
,入賞,にゅうしょう,được khen thưởng
,大賞,たいしょう,giải thưởng lớn
"1875
N4",賛,Tán,Tán thành
音： さん,賛成,さんせい,tán thành
,賛否,さんぴ,"chống đối, không tán thành"
,賛同,さんどう,"chấp thuận, đồng ý"
,賛意,さんい,"chấp thuận, đồng ý"
,協賛,きょうさん,"hiệp lực, tán thành"
"1876
N4",質,Chất,Chất vấn
音： しつ、しち,実質,じっしつ,"thực chất, thực tế"
,物質,ぶっしつ,vật chất
,体質,たいしつ,thể chất
,本質,ほんしつ,bản chất
,人質,ひとじち,con tin
"1877
N2",賦,Phú,Trời cho
音： ふ,賦与,ふよ,phân phối
,賦課,ふか,"đánh thuế, thuế khóa"
,賦役,ふえき,"việc khổ sai, nặng nhọc"
,天賦,てんぷ,thiên phú
,月賦,げっぷ,trả góp hàng tháng
"1878
N2",賜,Tứ,Ban thưởng
訓,（を）賜る,（を）たまわる,ban thưởng
音： し,賜暇,しか,"nghỉ phép, thưởng phép"
,賜金,しきん,tiền thưởng
,恩賜,おんし,"ân tứ, phần thưởng"
,下賜,かし,sự thừa kế
"1879
N2",賠,Bồi,Bồi thường
音： ばい,賠償,ばいしょう,bồi thường
,賠責,ばいせき,bảo hiểm trách nhiệm
,,,
"1880
N2",賓,Tân,Khách quý
音： ひん,賓辞,ひんじ,tân ngữ
,賓客,ひんきゃく,khách mời danh dự
,来賓,らいひん,khách mời
,主賓,しゅひん,khách mời chính
,貴賓,きひん,khách quý
188１ N3,賢,Hiền,Khôn ngoan
訓,賢い,かしこい,"khôn ngoan, thông minh"
音： けん,賢明,けんめい,"sáng suốt, khôn ngoan"
,賢人,けんじん,nhà thông thái
,賢才,けんさい,"hiền tài, người tài"
,賢母,けんぼ,người mẹ giỏi
188２ N2,賭,Đổ,Đánh bạc
訓,（を）賭ける,（を）かける,"cá cược, đánh bạc"
音： と,賭場,とば,sòng bạc
,賭博,とばく,"cờ bạc, cá độ"
188３ N2,購,Cấu,Mua vào
音： こう,購入,こうにゅう,mua
,購読,こうどく,đặt mua báo
,購求,こうきゅう,mua (đồ thiết yếu)
188４ N4,贈,Tặng,Tặng
訓,（を）贈る,（を）おくる,tặng
音： ぞう、そう,贈与,ぞうよ,tặng
,贈呈,ぞうてい,tặng (người trên cho người dưới)
,追贈,ついぞう,truy tặng
,寄贈,きそう,tặng (cho tổ chức)
188５ N5,赤,Xích,Màu đỏ
,赤い,あかい,màu đỏ
,（を）赤らめる,（を）あからめる,làm đỏ
,（が）赤らむ,あからむ,đỏ lên
音： しゃ,赦免,しゃめん,"tha, miễn"
,恩赦,おんしゃ,ân xá
,容赦,ようしゃ,tha thứ
,特赦,とくしゃ,đặc xá
,大赦,たいしゃ,đại xá
"1887
N5",走,Tẩu,Chạy
訓,走る,はしる,chạy
音： そう,逃走,とうそう,"đào tẩu, chạy trốn"
,敗走,はいそう,"bỏ chạy, tháo chạy"
,疾走,しっそう,"lao nhanh, phóng nhanh"
,好走,こうそう,"chạy tốt, chạy giỏi"
"1888
N2",赴,Phó,Đi
訓,（に）赴く,（に）おもむく,"đi đến, hướng tới"
音： ふ,赴任,ふにん,tới nhận chức
"1889
N5",起,Khởi,Thức dậy
訓,（を）起こす,（を）おこす,"đánh thức, gây ra"
,（が）起こる,（が）おこる,xảy ra
,（が）起きる,（が）おきる,thức dậy
音： き,起工,きこう,khởi công
訓,（を）越す,（を）こす,vượt qua
,（を）越える,（を）こえる,vượt qua
音： えつ,越年,えつねん,"qua năm, hết năm"
,越訴,えっそ,khiếu nại
,越境,えっきょう,vượt biên
"1891
N2",超,Siêu,Siêu đẳng
訓,（を）超す,（を）こす,vượt qua (giới hạn)
,（を）超える,（を）こえる,vượt qua (giới hạn)
音： ちょう,超過,ちょうか,vượt quá
,超越,ちょうえつ,"siêu đẳng, siêu việt"
,超絶,ちょうぜつ,tuyệt diệu
"1892
N4",趣,Thú,Thú vui
訓,（に）趣く,（に）おもむく,"đi đến, hướng tới"
音： しゅ,趣味,しゅみ,sở thích
,趣旨,しゅし,"ý đồ, mục đích"
,趣向,しゅこう,"chí hướng, cá tính, phong cách"
,情趣,じょうしゅ,"tâm tính, tình cảm"
"1893
N5",足,Túc,Chân
,足,あし,chân
訓,（を）足す,（を）たす,cộng
,（に／が）足る,（に／が）たる,"đủ, đầy đủ"
,（が）足りる,（が）たりる,đủ
音： そく,発足,ほっそく,"sự mở đầu, thành lập"
,満足,まんぞく,"đầy đủ, sung túc"
"1894
N2",距,Cự,Cự ly
音： きょ,距離,きょり,cự ly
,距骨,きょこつ,"bờ nghiêng, bờ dốc"
"1895
N3",路,Lộ,Con đường
音： ろ,路線,ろせん,"tuyến đường, lộ trình"
,帰路,きろ,đường về
,経路,けいろ,"kênh (thị trường), đường"
,通路,つうろ,con đường
,進路,しんろ,con đường phía trước
"1896
N2",跡,Tích,Vết tích
訓,跡,あと,vết tích
音： せき,遺跡,いせき,di tích
,形跡,けいせき,"bằng chứng, chứng cớ"
,追跡,ついせき,"theo dấu vết, theo dõi"
,失跡,しっせき,mất dấu vết
"1897
N2",跳,Khiêu,Nhảy lên
訓,（を／が）跳ぶ,（を／が）とぶ,"nhảy lên, bật lên"
,（が）跳ねる,（が）はねる,"nhảy, bắn lên (dầu)"
音： ちょう,跳躍,ちょうやく,nhảy
,反跳,はんちょう,dội lại
,,,
"1898
N2",践,Tiễn,Thực tiễn
音： せん,実践,じっせん,thực tiễn
"1899
N4",踊,Dũng,Nhảy múa
訓,踊り,おどり,điệu múa
,（が）踊る,（が）おどる,nhảy múa
,舞踊,ぶよう,điệu múa
"1900
N4",踏,Đạp,Giẫm đạp
訓,（を）踏む,（を）ふむ,"đạp, giẫm"
,（を）踏まえる,（を）ふまえる,dựa trên
音： とう,踏破,とうは,"đi qua, vượt qua"
,踏査,とうさ,"khảo sát, điều tra"
,雑踏,ざっとう,đám đông (người)
190１ N2,踪,Tung,Tung tích
音： そう,踪跡,そうせき,tung tích
190２ N3,蹴,Xúc,Đá
訓,（を）蹴る,（を）ける,đá
音： しゅう,蹴球,しゅうきゅう,đá cầu
,一蹴,いっしゅう,một cú đá
190３ N2,躍,Dược,Nhảy
訓,（が）躍る,（が）おどる,nhảy múa
音： やく,躍進,やくしん,sự đột phá
,飛躍,ひやく,bước nhảy vọt
190４ N5,身,Thân,Cơ thể
訓,刺身,さしみ,"sashimi, món cá sống"
音： しん,身長,しんちょう,chiều cao
,変身,へんしん,"biến hình, hóa thân"
,単身,たんしん,đơn thân
,終身,しゅうしん,chung thân
190５ N5,車,Xa,Xe cộ
訓,車,くるま,xe ô tô
音： しゃ,車線,しゃせん,làn xe
,下車,げしゃ,xuống xe
音： ぐん,軍事,ぐんじ,quân sự
,軍隊,ぐんたい,quân đội
,軍備,ぐんび,"quân trang, quân bị"
,軍機,ぐんき,bí mật quân sự
,軍人,ぐんじん,"quân nhân, người lính"
"1907
N2",軌,Quỹ,Quỹ đạo
音： き,軌道,きどう,quỹ đạo
,軌範,きはん,"quy phạm, tiêu chuẩn"
,軌跡,きせき,"vết bánh xe, đường cong"
,不軌,ふき,vô kỷ luật
,常軌,じょうき,"thông thường, bình thường"
"1908
N3",軒,Hiên,đv đếm nhà
訓,軒,のき,mái hiên
音： けん,一軒,いっけん,một căn (Đv đếm nhà)
,数軒,すうけん,vài căn (nhà)
"1909
N5",転,Chuyển,Di chuyển
訓,（を）転げる,（を）ころげる,"lăn mình, nhào lộn"
,（が）転がる,（が）ころがる,"ngã lăn, lăn lộn"
,（を）転がす,（を）ころがす,"lắc (xí ngầu), thả lăn"
,（で）転ぶ,（で）ころぶ,"té, ngã, vấp"
"1910
N3",軟,Nhuyễn,Mềm
訓,軟らかい,やわらかい,"mềm, nhuyễn"
,軟らか（な）,やわらか（な）,"mềm, nhuyễn"
音： なん,軟化,なんか,"mềm, nhuyễn"
,軟派,なんぱ,"tán tỉnh, cưa cẩm"
,軟調,なんちょう,"nhu nhược, yếu đuối"
"1911
N5",軽,Khinh,"Nhẹ, khinh rẻ"
訓,軽い,かるい,nhẹ
,軽やか（な）,かろやか（な）,nhẹ nhàng
