音,朕,ちん,,ta (vua xưng),
,,,,,
"984
N4",望,Vọng,,Hy vọng,
訓,（を）望む,（を）のぞむ,,mong muốn,
,望ましい,のぞましい,,đang được mong đợi,
音： ぼう,要望,ようぼう,,nguyện vọng,
,有望,ようぼう,,"có hy vọng, có triển vọng",
,絶望,ぜつぼう,,không có hy vọng,
"985
N5",朝,Triều,,Buổi sáng,
訓,朝,あさ,,buổi sáng,
音： ちょう,朝食,ちょうしょく,,bữa cơm sáng,
,朝刊,ちょうかん,,báo sáng,
,早朝,そうちょう,,sáng sớm,
,明朝,みょうちょう,,"sáng ngày mai, nhà Minh",
"986
N4",期,Kỳ,,Kỳ hạn,
,期日,きじつ,,"ngày hẹn, kì hạn",
音： き,期間,きかん,,thời gian,
,期限,きげん,,kì hạn,
,長期,ちょうき,,lâu dài,
,短期,たんき,,ngắn hạn,
"987
N5",木,Mộc,,"Cây, gỗ",
訓,木,き,,"cây, gỗ",
,木の葉,このは,,lá cây,
音： もく、ぼく,木材,もくざい,,chất liệu gỗ,
,木造,もくぞう,,làm bằng gỗ,
,土木,どぼく,,công việc xây dựng,
"988
N5",本,Bản,,Sách,
訓,本,もと,,"nguồn gốc, vốn dĩ",
音： ほん,本部,ほんぶ,,trụ sở điều hành,
,本当,ほんとう,,thật sự,
,本来,ほんらい,,từ trước đến nay,
,本年,ほんねん,,năm nay,
"989
N3",札,Trát,,Tiền giấy,
訓,札,ふだ,,thẻ,
音： さつ,入札,にゅうさつ,,đấu thầu,
,落札,らくさつ,,trúng thầu,
,改札,かいさつ,,soát vé,
,千円札,せんえんさつ,,đồng tiển 1000 yên,
"990
N5",末,Mạt,,Cuối,
訓,末,すえ,,cuối,
音： まつ,結末,けつまつ,,kết quả cuối cùng,
,週末,しゅうまつ,,cuối tuần,
,年末,ねんまつ,,cuối năm,
,末期,まっき,,cuối kỳ,
"991
N5",未,Vị,,Chưa,
訓,未だ,まだ,,"vẫn chưa, vẫn còn",
,未だに,いまだに,,vẫn chưa,
音： み,未明,みめい,,chưa biết rõ,
,未来,みらい,,"thời gian tương lai, sau này",
,未知,みち,,chưa biết,
"992
N5",机,Kỷ,,Cái bàn,
訓,机,つくえ,,cái bàn,
音： き、ぎ,机上,きじょう,,"trên giấy tờ, trên bàn",
,机辺,きへん,,quanh bàn,
,床机,しょうぎ,,ghế đẩu,
"993
N2",朽,Hủ,,Mục nát,
訓,（が）朽ちる,（が）くちる,,mục nát,
音： きゅう,不朽,ふきゅう,,"bất hủ, không bị lỗi thời",
,腐朽,ふきゅう,,"hư hỏng, mục nát",
,老朽,ろうきゅう,,"đổ nát, cuống cấp",
,,,,,
"994
N2",朱,"Chu, Châu",,Sắc đỏ,
音： しゅ,朱色,しゅいろ,,sắc đỏ,
,朱肉,しゅにく,,hộp mực dấu,
,朱印,しゅいん,,dấu đỏ,
,丹朱,たんしゅ,,"màu son, màu đỏ",
"995
N2",朴,Phác,,"Giản dị, chất phác",
音： ぼく,朴直,ぼくちょく,,"bộc trực, chân thật",
,質朴,しつぼく,,chất phác,
,素朴,そぼく,,"giản dị, chất phác",
,純朴,じゅんぼく,,chất phác,
,,,,,
"996
N5",村,Thôn,,Làng xóm,
訓,村,むら,,làng xóm,
音： そん,村長,そんちょう,,"trưởng thôn, trưởng làng",
,村民,そんみん,,ngưởi dân trong làng,
,村落,そんらく,,"thôn quê, thôn làng",
,農村,のうそん,,nông thôn,
"997
N5",来,Lai,,"Đến, tương lai",
訓,（へ／に）来る,（へ／に）くる,,đến,
,（が）来る,（が）きたる,,"đến, đến hạn",
,（を）来す,（を）きたす,,"gây ra, gây nên",
音： らい,元来,がんらい,,vốn dĩ,
,到来,とうらい,,"đến, được giao đến",
