"1921
"1946
N4",造,Tạo,Chế tạo
訓,（を）造る,（を）つくる,chế tạo
音： ぞう,造反,ぞうはん,"nổi dậy, khởi nghĩa, nổi loạn"
,造成,ぞうせい,"tạo ra, sáng tạo, cải tạo"
,造林,ぞうりん,trồng rừng
,人造,じんぞう,"nhân tạo, con người làm ra"
"1947
N4",途,Đồ,Đường lối
音： と,途中,とちゅう,"giữa chừng, trên đường, trong khi"
,帰途,きと,đường về nhà
,用途,ようと,"cách dùng, ý đồ sử dụng"
,前途,ぜんと,"điểm đến, đích đến, tương lai"
,中途,ちゅうと,"giữa chừng, lưng chừng,"
"1948
N2",透,Thấu,Trong suốt
訓,（を）透かす,（を）すかす,"nhìn xuyên qua, để trống"
,（が）透ける,（が）すける,xuyên thấu
音,（が）透く,（が）すく,"hở, thấu, trong suốt"
,透明,とうめい,trong suốt
,透析,とうせき,"thẩm tách (lọc máu, chạy thận)"
"1949
N2",逝,Thệ,Chết
訓,（が／へ）逝く,（が／へ）ゆく,chết
音： せい,逝去,せいきょ,"an nghỉ, qua đời,
khuất núi (Cách nói lịch sự)"
,逝,きゅうせい,đột tử
,長逝,ちょうせい,"mãi mãi rời xa, giấc ngủ ngàn thu"
"1950
N2",逐,Trục,Đuổi đi
音： ちく,逐次,ちくじ,"tuần tự, lần lượt, tiếp theo"
,逐年,ちくねん,"hằng năm, từng năm"
,駆逐,くちく,đuổi theo
,放逐,ほうちく,"trục xuất, đằy ải, đuổi ra"
,角逐,かくちく,cạnh tranh
"1951
N2",逓,Đệ,Đổi phiên
音： てい,逓信,ていしん,"thông tin, viết tắt của Bộ thông tin"
,逓増,ていぞう,"tăng dần, lần lượt tăng"
,逓減,ていげん,"giảm dần, lần lượt giảm"
,逓送,ていそう,"gửi theo thứ tự, chuyển tiếp"
,逓次,ていじ,"lần lượt, thứ tự, tuần tự"
"1952
N5",週,Chu,Tuần lễ
音： しゅう,週間,しゅうかん,tuần lễ
,週給,しゅうきゅう,lương theo tuần
,隔週,かくしゅう,cách mỗi tuần
,毎週,まいしゅう,mỗi tuần
,次週,じしゅう,tuần tiếp theo
"1953
N4",進,Tiến,Thăng tiến
訓,（を）進める,（を）すすめる,"thúc đẩy, đẩy nhanh, tiến hành"
