"５６１
,岳人,がくじん,người leo núi
,山岳,さんがく,vùng núi
,,,
"５９０
N2",岬,Giáp,Mỏm đất
訓,岬,みさき,mũi đất
音：  こう,岬ℝ,こうかく,chổ đất lồi lên
,,,
,,,
"５９１
N2",岡,Cương,Cái đồi
訓,岡,おか,ngọn đồi
,岡山県,おかやまけん,Tỉnh Okayama
"５９２
N2",峠,Đèo,Ngọn đèo
訓,峠,とうげ,ngọn đèo
,,,
"５９３
N2",峡,Hạp,Eo biển
音：  きょう,峡谷,きょうこく,"hẻm núi, vực sâu"
,地峡,ちきょう,eo đất
,山峡,さんきょう,khe núi
,海峡,かいきょう,eo biển
"５９４
N4",島,Đảo,Hòn đảo
訓,島,しま,đảo
音：  とう,島内,とうない,trên đảo
,本島,ほんとう,hòn đảo chính
,離島,りとう,đảo biệt lập
,群島,ぐんとう,quần đảo
"５９５
N2",峰,Phong,Vách núi
訓,峰,みね,"chóp, ngọn, đỉnh"
音：  ほう,高峰,こうほう,núi cao
,連峰,れんぽう,"rặng núi, dãy núi"
,霊峰,れいほう,núi thần thánh
,最高峰,さいこうほう,đỉnh cao nhất
"５９６
N3",崩,Băng,"Sạt lỡ, sụp đổ"
訓,崩す,くずす,phá hủy
,崩れる,くずれる,đổ nhào
音：  ほう,崩落,ほうらく,sụp đổ
,崩御,ほうぎょ,sự băng hà
,,,
"５９７
N2",崎,Kỳ,Mũi đảo
訓,長崎,ながさき,tỉnh nagasaki
,,,
"５９８
N2",崇,Sùng,Tôn sùng
音：  すう,崇拝,すうはい,sùng bái
,崇敬,すうけい,tôn kính
,尊崇,そんすう,lòng kính trọng
,,,
"５９９
N2",崖,Nhai,Vách núi
訓,崖,がけ,vách đá
音：  がい,断崖,だんがい,hàng vách đá dốc
,懸崖,けんがい,vách đá nhô ra
,,,
"６００
N2",嵐,Lam,Giông tố
訓,嵐,あらし,bão tố
,,,
"６０１
N5",川,Xuyên,Con sông
訓,川,かわ,con sông
音：  せん,河川,かせん,sông ngòi
,山川,さんせん,sông núi
,,,
６０２,巛,Bộ xuyên,
"６０３
N3",州,Châu,Châu lục
音：  しゅう,本州,ほんしゅう,đảo honshyu
,九州,きゅうしゅう,đảo kyushyu
,欧州,おうしゅう,châu âu
,,,
"６０４
N2",巡,Tuần,Đi tuần
訓,巡る,めぐる,"dạo quanh, đi quanh"
音：  じゅん,巡査,じゅんさ,tuần cảnh
,巡回,じゅんかい,đi tuần
,巡行,じゅんこう,đội tuần tra
,巡礼,じゅんれい,hành hương
"６０５
N5",工,Công,Công nghiệp
音：  こう、く,工事,こうじ,công trường
,工作,こうさく,nghề thủ công
,工業,こうぎょう,công nghiệp kĩ nghệ
,加工,かこう,gia công
,大工,だいく,thợ mộc
"６０６
N5",左,Tả,Bên trái
訓,左,ひだり,bên trái
音：  さ,左記,さき,"sau đây, dưới đây"
,左派,さは,cánh tả
,左折,させつ,rẽ trái
,左岸,さがん,bờ phía bên trái
"６０７
N2",巨,Cự,Khổng lồ
音：  きょ,巨人,きょじん,người khổng lồ
,巨大,きょだい,khổng lồ
,巨木,きょぼく,cây lớn
,巨額,きょがく,lượng lớn
,巨利,きょり,lợi nhuận khổng lồ
"６０８
N2",巧,Xảo,Khéo léo
訓,巧,たくみ,"khéo léo, khéo tay"
音：  こう,巧言,こうげん,lời nịnh nọt
,巧者,こうしゃ,người khéo tay
,巧拙,こうせつ,sự giỏi giang
,精巧,せいこう,tinh xảo
"６０９
N4",差,Sai,Sự cách biệt
訓,差す,さす,giương (dù)
音：  さ,差別,さべつ,phân biệt đối xử
,差益,さえき,lợi nhuận
,格差,かくさ,sự khác biệt
,偏差値,へんさち,độ lệch
"６１０
N5",己,Kỷ,Tự bản thân
訓,己,おのれ,kỷ (hàng can)
音：  こ、き,自己,じこ,tự bản thân
,利己,りこ,có lợi riêng
,知己,ちこ,bạn tri kỷ
,克己,こっき,tự chủ
"６１１
N3",巾,Cân,Cái khăn
訓,巾,はば,"khăn ăn, vải"
音：  きん,巾着,きんちゃく,túi đựng tiền
,布巾,ふきん,khăn lau vải
,頭巾,ずきん,mũ trùm đầu
,雑巾,ぞうきん,vải che bụi
"６１２
N5",市,Thị,"Chợ, phố"
訓,市,いち,thành phố
音：  し,市政,しせい,chính quyền thành phố
,市場,しじょう,"thị trường, chợ"
,市長,しちょう,thị trưởng
,都市,とし,đô thị
"６１３
N5",布,Bố,Vải
訓,布,ぬの,vải
音：  ふ,布告,ふこく,"tuyên bố, sắc lệnh"
,財布,さいふ,"ví, bóp"
,分布,ぶんぷ,sự phân bố
,毛布,もうふ,chăn
"６１４
N2",帆,Phàm,Buồm
訓,帆,ほ,thuyền buồm
音：  はん,帆船,はんせん,thuyền buồm
,帆走,はんそう,việc đi thuyền
,出帆,しゅっぱん,đi thuyền
,帰帆,きはん,tàu về cảng
"６１５
N4",希,Hy,"Hy vọng, hiếm"
訓,希,まれ,hiếm có
音：  き,希望,きぼう,"sở nguyện, hi vọng"
,希薄,きはく,"mỏng manh, thưa thớt"
,希少,きしょう,"ít có, hiếm có"
,希求,ききゅう,sự mong mỏi
"６１６
N2",帝,Đế,"Vua, trời"
音：  てい,帝都,ていと,đế đô
,帝国,ていこく,đế quốc
,帝政,ていせい,"đế chế, chính quyền"
,天帝,てんてい,thượng đế
,皇帝,こうてい,hoàng đế
"６１７
N2",帥,"Súy, Soái",Vị chỉ huy
音：  すい,元帥,げんすい,nguyên soái
,総帥,そうすい,người chỉ huy
,統帥,とうすい,thống soái
,将帥,しょうすい,người đứng đầu
,,,
"６１８
N5",帰,Quy,Trở về
訓,帰す,かえす,cho về
,帰る,かえる,trở về
音：  き,帰省,きせい,sự về quê
,復帰,ふっき,sự khôi phục
,回帰,かいき,quay trở lại
"６１９
N5",席,Tịch,Chỗ ngồi
音：  せき,座席,ざせき,chổ ngồi
,満席,まんせき,"đầy chổ, hết chổ"
,主席,しゅせき,chủ tịch
,出席,しゅっせき,sự có mặt
,欠席,けっせき,sự vắng mặt
"６２０
N3",帯,Đới,Dây đai
訓,帯,おび,"việc mang, dây đai"
,帯びる,おびる,nhiễm ảnh hưởng
音：  たい,地帯,ちたい,"dải đất, vành đai"
,熱帯,ねったい,nhiệt đới
,携帯用,けいたいよう,xách tay
"６２１
N5",師,Sư,"Thầy, Cô"
音：  し,師匠,ししょう,sư phụ
,教師,きょうし,giáo viên
,講師,こうし,giảng viên
,技師,ぎし,kỹ sư
,調理師,ちょうりし,đầu bếp
"６２２
N5",帳,Trướng,Sổ sách
音：  ちょう,帳簿,ちょうぼ,"sổ đăng ký, sổ kế toán"
,手帳,てちょう,sổ tay
,記帳,きちょう,biên sổ
,通帳,つうちょう,sổ tài khoản
,台帳,だいちょう,sổ cái
"６２３
N4",常,Thường,"Thường, luôn"
訓,常に,つねに,thường thường
,常,とこ,tính vĩnh hằng
音：  じょう,常識,じょうしき,thường thức
,正常,せいじょう,sưự bình thường
,異常,いじょう,dị thường
"６２４
N2",幅,Phúc,Bề rộng
訓,幅,はば,chiều rộng
音：  ふく,増幅,そうふく,sự khuếch đại
,振幅,しんぷく,biên độ rung lắc
,全幅,ぜんぷく,mỗi thứ
,満幅,まんぷく,đầy đủ
"６２５
N4",帽,Mạo,Cái nón (mũ)
音：  ぼう,帽子,ぼうし,cái nón (mũ)
,帽章,ぼうしょう,thưởng huy chương
,無帽,むぼう,đầu  trần
,脱帽,だつぼう,cởi mũ
,制帽,せいぼう,mũ đi học
"６２６
N2",幕,Mạc,Cái màn
音：  まく、ばく,字幕,じまく,phụ đề
,開幕,かいまく,khai mạc
,閉幕,へいまく,bế mạc
,終幕,しゅうまく,chấm dứt
,幕府,ばくふ,mạc phủ
"６２７
N2",幣,Tệ,Tiền tệ
音：  へい,幣物,へいぶつ,đồ vật dâng cúng
,紙幣,しへい,tiền giấy
,貨幣,かへい,tiền tệ
,造幣,ぞうへい,đúc tiền
,,,
"６２８
N5",干,Can,Phơi khô
訓,干す,ほす,"hong, phơi"
,干物,ひもの,đồ khô
音：  かん,干渉,かんしょう,"can thiệp, giao thoa"
,若干,じゃっかん,"một số,một vài"
"６２９
N5",平,Bình,Bằng phẳng
訓,平,ひら,"bằng, phiến diện"
,平たい,ひらたい,"bằng phẳng, tẹt (mũi)"
音：  へい、びょう,平和,へいわ,hòa bình
,不平,ふへい,bất bình
,平等,びょうどう,bình đẳng
"６３０
N5",年,Niên,"Năm, tuổi"
訓,年,とし,"năm, tuổi"
音：  ねん,年金,ねんきん,lương hưu
,昨年,さくねん,năm ngoái
,定年,ていねん,tuổi về hưu
,青年,せいねん,thanh niên
"６３１
N4",幸,Hạnh,Hạnh phúc
訓,幸い,さいわい,may mắn
,幸せ,しあわせ,hạnh phúc
,幸,さち,sự may mắn
音：  こう,幸福,こうふく,hạnh phúc
,不幸,ふこう,bất hạnh
"６３２
N4",幹,Cán,Phần chính
訓,幹,みき,thân cây
音：  かん,幹事,かんじ,sự điều phối
,幹部,かんぶ,phụ trách
,根幹,こんかん,cái cốt lõi
,主幹,しゅかん,người biên tập
６３３,幺,Bộ yêu,
"６３４
N2",幻,Ảo,Ảo giác
訓,幻,まぼろし,ảo tưởng
音：  げん,幻想,げんそう,ảo tưởng
,幻覚,げんかく,ảo giác
,幻惑,げんわく,thôi miên
,変幻,へんげん,sự biến đổi
"６３５
N3",幼,Ấu,Non nớt
訓,幼い,おさない,trẻ con
音：  よう,幼年,ようねん,tuổi nhỏ
,幼女,ようじょ,cô gái nhỏ
,幼少,ようしょう,thời thơ ấu
,幼虫,ようちゅう,ấu trùng
"６３６
N2",幽,U,Sâu kín
音：  ゆう,幽界,ゆうかい,âm ty
,幽閉,ゆうへい,sự giam cầm
,幽玄,ゆうげん,huyền bí
,幽谷,ゆうこく,bí ẩn
,幽霊,ゆうれい,u linh
"６３７
N2",幾,Kỷ,Bao nhiêu
訓,幾ら,いくら,bao nhiêu
,幾つ,いくつ,"bao nhiêu cái, bao nhiêu tuổi"
音：  き,幾何,きか,hình học
,庶幾,しょき,"mong muốn, hi vọng"
,,,
６３８,广,Bộ nghiễm,
"６３９
N5",広,Quảng,Rộng
訓,広い,ひろい,rộng
,（を）広げる,（を）ひろげる,mở rộng
,（が）広がる,（が）ひろがる,rộng ra
,（を）広める,（を）ひろめる,loan tin
,（が）広まる,（が）ひろまる,được lan truyền
音：  こう,広大,こうだい,rộng lớn
,広範,こうはん,phạm vi rộng
"６４０
N2",庁,Sảnh,Công sở
音：  ちょう,官庁,かんちょう,cơ quan chính quyền
,省庁,しょうちょう,văn phòng chính phủ
,気象庁,きしょうちょう,đài khí tượng
,警視庁,けいしちょう,sở cảnh sát
,環境庁,かんきょうちょう,sở môi trường
