"３２１
訓,唄,うた,bài hát
,,,
"３５２
N2",哺,Bộ,Nuôi dưỡng
音： ほ,哺育,ほいく,nuôi dưỡng và dạy dỗ
,哺乳類,ほにゅうるい,động vật có vú
,反哺,はんぽ,báo ơn
,,,
"３５３
N3",商,Thương,Buôn bán
訓,商う,あきなう,"kinh doanh, buôn bán"
音： しょう,商売,しょうばい,buôn bán
,商店,しょうてん,cửa hàng buôn bán
,商業,しょうぎょう,thương mại
,通商,つうしょう,thông thương
"３５４
N5",問,Vấn,"Hỏi, vấn đề"
訓,問う,とう,hỏi
,問い,とい,câu hỏi
,問屋,とんや,hãng buôn bán
音： もん,質問,しつもん,"câu hỏi, chất vấn"
,訪問,ほうもん,thăm hỏi
"３５５
N2",唱,Xướng,Ca hát
訓,唱える,となえる,ca hát
音： しょう,歌唱,かしょう,ca hát
,提唱,ていしょう,đề xuất
,斉唱,せいしょう,hòa âm
,合唱,がっしょう,hợp xướng
"３５６
N2",啓,Khải,"Mở, nói, chỉ bảo"
音： けい,啓発,けいはつ,"mở mang, phát triển"
,啓上,けいじょう,với vẻ kính trọng
,天啓,てんけい,lời tiên tri
,拝啓,はいけい,kính gửi
,謹啓,きんけい,"cảnh gần, cận cảnh"
"３５７
N2",喝,Hát,Quát mắng
音： かつ,威喝,いかつ,"đe dọa, hăm dọa"
,大喝,だいかつ,"hét lớn, gào lớn"
,恐喝,きょうかつ,"uy hiếp, đe dọa"
,喝破,かっぱ,"công bố, tuyên bố"
,喝采,かっさい,"hoan hô, cổ vũ"
"３５８
N2",唯,Duy,Duy nhất
音： ゆい,唯一,ゆいいつ,duy nhất
,唯心,ゆいしん,duy tâm
,唯物,ゆいぶつ,duy vật
,,,
"３５９
N2",唾,Thóa,Nước bọt
訓,唾,つば,nước bọt
音： だ,唾液,だえき,"nước bọt, nước dãi"
,,,
"３６０
N4",喜,Hỉ,"Vui, mừng"
訓,喜ぶ,よろこぶ,"vui, mừng"
,喜び,よろこび,"vui, mừng"
,喜ばしい,よろこばしい,"vui, mừng, sướng"
音： き,喜捨,きしゃ,bố thí
,悲喜,ひき,niềm vui và nỗi đau
,歓喜,かんき,vui sướng
"３６１
N3",善,Thiện,"Tốt, giỏi"
訓,善い,よい,"tốt, giỏi"
音： ぜん,善意,ぜんい,thiện chí
,善良,ぜんりょう,"lương thiện, tốt đẹp"
,改善,かいぜん,cải thiện
,親善,しんぜん,"thân thiện, giao hữu"
"３６２
N2",喚,Hoán,Hô hoán
音： かん,喚起,かんき,"thức tỉnh, khơi gợi"
,喚問,とろ,triệu tập
,喚声,かんせい,"hò hét, hoan hô"
,,,
,,,
"３６３
N5",喫,Khiết,Ăn uống
音： きつ,喫煙,きつえん,hút thuốc
,喫緊,きっきん,"khẩn cấp, cấp bách"
,喫茶店,きっさてん,"quán cà phê, quán nước"
,満喫,まんきつ,"thõa mãn, mãn nguyện"
,,,
"３６４
N2",喪,Tang,Đám tang
訓,喪服,もふく,tang phục
音： そう,喪家,そうか,vô gia cư
,喪具,そうぐ,đồ lễ tang
,喪失,そうしつ,"thua, mất mát"
,大喪,たいそう,đại tang
"３６５
N2",喉,Hầu,Cổ họng
訓,喉,のど,cổ họng
音： こう,喉頭,こうとう,thanh quản
,,,
,,,
"３６６
N2",喩,Dụ,"Ẩn dụ, giả dụ"
音： ゆ,比喩,ひゆ,tỷ dụ
,換喩,かんゆ,hoán dụ
,隠喩,いんゆ,ẩn dụ
,引喩,いんゆ,dẫn dụ
,暗喩,あんゆ,phép ẩn dụ
"３６７
N2",嘆,Thán,Than vãn
訓,嘆く,なげく,than vãn
,嘆かわしい,なげかわしい,buồn bã
音： たん,嘆息,たんそく,thở dài
,感嘆,かんたん,"cảm thán, thán phục"
,驚嘆,きょうたん,"kinh ngạc, thán phục"
"３６８
N2",嗣,Tự,Nối dõi
音,嗣子,しし,người thừa kế
,後嗣,こうし,"con cháu, thế hệ sau"
,継嗣,けいし,người nối nghiệp
,令嗣,れいし,người thừa kế
,嫡嗣,ちゃくし,người thừa kế hợp pháp
"３６９
N2",嗅,Khứu,Ngửi
訓,嗅ぐ,かぐ,ngửi
音： きゅう,嗅覚,きゅうかく,khứu giác
,,,
,,,
"３７０
N3",器,Khí,Dụng cụ
訓,器,うつわ,"chậu, bình"
音： き,器具,きぐ,"dụng cụ, khí cụ"
,機器,きき,cơ khí
,楽器,がっき,nhạc cụ
,食器,しょっき,dụng cụ ăn
"３７１
N2",噴,Phún,Phun ra
訓,噴く,ふく,phun ra
音： ふん,噴火,ふんか,phun lửa
,噴水,ふんすい,phun nước
,噴煙,ふんえん,phun khói
,噴泉,ふんせん,"suối, nứt rạn"
"３７２
N2",嘱,Chúc,Di chúc
音： しょく,嘱託,しょくたく,"phó thác, giao cho"
,嘱望,しょくぼう,"kỳ vọng, hy vọng"
,嘱目,しょくもく,chú ý đến
,委嘱,いしょく,"ủy thác, dặn dò"
,,,
"３７３
N2",嘲,Trào,Châm biếm
訓,嘲る,あざける,chế diễu
音： ちょう,嘲弄,ちょうろう,"trào lộng, trêu chọc"
,嘲笑,ちょうしょう,cười nhạo
,自嘲,じちょう,tự chế nhạo mình
,,,
"３７４
N2",嚇,Hách,Hăm dọa
音： かく,嚇怒,かくど,"giận dữ, điên tiết"
,威嚇,いかく,"hăm dọa, đe dọa"
,,,
３７５,囗,Bộ vi,
"３７６
N5",四,Tứ,Bốn
