"７２１
音： ぼ,慕情,ぼじょう,lòng yêu mến
,思慕,しぼ,sự nhớ mong
,恋慕,れんぼ,"sự phải lòng, sự yêu"
,敬慕,けいぼ,"sự kính yêu, sự khâm phục"
"７４６
N3",慮,Lự,"Nghĩ ngợi, lo"
音： りょ,苦慮,くりょ,sự trăn trở
,考慮,こうりょ,"sự suy nghĩ, sự quan tâm"
,遠慮,えんりょ,"ngại ngùng, ngần ngại"
,配慮,はいりょ,sự quan tâm
,憂慮,ゆうりょ,"sự lo lắng, sự nóng ruột"
"７４７
N2",慰,Ủy,An ủi
訓,（を）慰める,（を）なぐさめる,an ủi
,（が）慰む,（が）なぐさむ,được an ủi
音： い,慰安,いあん,sự an ủi
,慰霊,いれい,sự an ủi linh hồn người chết
,慰謝,いしゃ,sự an ủi
,慰留,いりゅう,sự khuyên can
"７４８
N2",憂,Ưu,Ưu phiền
訓,憂い,うれい,nỗi buồn
,（を）憂える,（を）うれえる,"đau lòng, lo âu"
音： ゆう,憂国,ゆうこく,lòng yêu nước
,憂憤,ゆうふん,sự giận dữ
,同憂,どうゆう,việc chia sẻ nỗi buồn
"７４９
N2",慶,Khánh,"Mừng, phước"
音： けい,慶事,けいじ,"điềm lành, điềm tốt"
,慶賀,けいが,chúc mừng
,弁慶,べんけい,người đàn ông mạnh mẽ
,御慶,ぎょけい,lời chúc mừng (năm mới)
,恭慶,きょうけい,
"７５０
N2",憲,Hiến,Hiến pháp
音： けん,憲法,けんぽう,hiến pháp
,憲章,けんしょう,hiến chương
,違憲,いけん,sự vi phạm hiến pháp
,護憲,ごけん,việc bảo vệ hiến pháp
,改憲,かいけん,việc sửa đổi hiến pháp
"７５１
N3",憩,Khế,Nghỉ ngơi
訓,憩う,いこう,"nghỉ ngơi, thư giãn"
,憩い,いこい,"sự nghỉ ngơi, thư giãn"
音： けい,休憩,きゅうけい,nghỉ giải lao
,小憩,しょうけい,nghỉ một chút
,少憩,しょうけい,thời gian nghỉ ngắn
"７５２
N2",懇,Khẩn,Khẩn cấp
訓,懇ろ,ねんごろ,"mến khách, thân mật"
音： こん,懇意,こんい,"thân thiện, tình bạn"
,懇願,こんがん,sự khẩn cầu
,懇談,こんだん,cuộc trò chuyện
,懇親,こんしん,sự thân tình
"７５３
N2",懲,Trừng,Trừng phạt
訓,（を）懲らす,（を）こらす,"trừng phạt, trừng trị"
,（を）懲らしめる,（を）こらしめる,"trừng phạt, trừng trị"
,懲りる,こりる,tỉnh ngộ
音： ちょう,懲悪,ちょうあく,sự trừng phạt cái ác
,懲役,ちょうえき,"khổ sai, phạt tù cải tạo"
,懲罰,ちょうばつ,sự trừng phạt
"７５４
N4",懸,Huyền,Treo
訓,（を）懸ける,（を）かける,"treo, căng lên"
,（が）懸かる,（が）かかる,"được treo, được căng lên"
音： けん、け,懸命,けんめい,"hết sức, hết mình"
,懸賞,けんしょう,việc treo thưởng
,懸念,けねん,sự lo lắng
"７５５
N5",忙,Mang,Bận rộn
訓,忙しい,いそがしい,bận rộn
音： ぼう,忙中,ぼうちゅう,lúc bận rộn
,忙殺,ぼうさつ,bận tối tăm mặt mũi
,多忙,たぼう,rất bận rộn
,煩忙,はんぼう,sự bận rộn
"７５６
N3",快,Khoái,Thoải mái
訓,快い,こころよい,thoải mái
音： かい,快速,かいそく,nhanh chóng
,快適,かいてき,thoải mái
,不快,ふかい,khó chịu
,明快,めいかい,sự rõ ràng
"７５７
N5",性,Tính,Tính cách
音： せい、しょう,性格,せいかく,tính cách
,活性,かっせい,hoạt tính
,急性,きゅうせい,cấp tính
,相性,あいしょう,sự tương thích
,根性,こんじょう,"bản tính, sự can đảm"
"７５８
N4",怖,Bố,"Sợ hãi, dữ"
訓,怖い,こわい,"sợ, dữ"
音： ふ,恐怖,きょうふ,nỗi sợ
"７５９
N3",怪,Quái,Nghi ngờ
訓,怪しい,あやしい,đáng ngờ
,怪しむ,あやしむ,nghi ngờ
音： かい,怪物,かいぶつ,quái vật
,怪談,かいだん,"chuyện kinh dị, chuyện ma"
,怪獣,かいじゅう,quái thú
"７６０
N2",怯,Khiếp,Khiếp nhược
訓,怯える,おびえる,khiếp sợ
,怯む,ひるむ,"nản chí, chùn bước"
音： きょう,卑怯,ひきょう,"hèn nhát, bần tiện"
,,,
"７６１
N2",恒,Hằng,"Luôn luôn, thường"
音： こう,恒例,こうれい,"thói quen, thông lệ"
,恒産,こうさん,tài sản/nghề nghiệp cố định
,恒心,こうしん,sự kiên định
,恒久,こうきゅう,sự vĩnh cửu
,恒常,こうじょう,không đổi
"７６２
N3",悔,Hối,"Tiếc, hối hận"
訓,悔しい,くやしい,"tức, cay cú"
,（を）悔やむ,（を）くやむ,"tiếc, hối tiếc"
,（を）悔いる,（を）くいる,"hối hận, ăn năn"
音： かい,悔恨,かいこん,sự hối hận
,後悔,こうかい,sự hối hận
"７６３
N2",恨,Hận,Oán hận
訓,恨む,うらむ,"hận, căm ghét"
,恨み,うらみ,nỗi hận
,恨めしい,うらめしい,"căm hận, căm ghét"
音： こん,恨事,こんじ,việc đáng ân hận
,痛恨,つうこん,sự tiếc nuối
,遺恨,いこん,mối hận thù
"７６４
N3",悩,Não,Phiền muộn
訓,（に）悩む,（に）なやむ,"ưu tư, lo phiền"
,（を）悩ます,（を）なやます,làm (người khác) phiền não
,悩み,なやみ,"nỗi ưu tư, trăn trở"
,悩ましい,なやましい,"phiền muộn, chán ngắt"
音： のう,悩乱,のうらん,sự lo lắng
,悩殺,のうさつ,sự mê hoặc
,苦悩,くのう,nỗi khổ tâm
,,,
,,,
,,,
"７６５
N2",悦,Duyệt,"Đẹp lòng, vui"
音： えつ,悦楽,えつらく,"sự thích thú, sự sung sướng"
,喜悦,きえつ,sự vui mừng
,満悦,まんえつ,sự vui sướng tột cùng
,法悦,ほうえつ,"sự xuất thần, trạng thái ngây ngất"
,恐悦,きょうえつ,"sự vui sướng, niềm khoái cảm"
"７６６
N2",悟,Ngộ,Tỉnh ngộ
訓,悟る,さとる,"hiểu được, giác ngộ"
音： ご,悟性,ごせい,sự khôn ngoan
,覚悟,かくご,chuẩn bị tinh thần
,悔悟,かいご,"sự ăn năn, sự hối lỗi"
,改悟,かいご,sự ân hận
"７６７
N4",情,Tình,Tình cảm
訓,情け,なさけ,"lòng trắc ẩn, sự cảm thông"
音： じょう,苦情,くじょう,"sự than phiền, lời than phiền"
,同情,どうじょう,sự đồng tình
,感情,かんじょう,tình cảm
,表情,ひょうじょう,"vẻ mặt, biểu cảm"
"７６８
N2",惨,Thảm,Bi thảm
訓,惨め,みじめ,"đáng thương, đáng buồn"
音： さん、ざん,惨事,さんじ,"thảm họa, tai nạn thương tâm"
,惨状,さんじょう,tình cảnh bi thảm
,惨劇,さんげき,thảm kịch
,惨敗,ざんぱい,sự thất bại thảm hại
"７６９
N3",惜,Tích,Tiếc nuối
訓,惜しい,おしい,"đáng tiếc, lãng phí"
,（を）惜しむ,（を）おしむ,"tiếc, tiếc rẻ"
音： せき,惜敗,せきはい,sự thất bại đáng tiếc
