"４０１
,塞がる,ふさがる,"tắc nghẽn (mạch máu), tắc nghẹt (đường), ngập tràn (cảm xúc)"
音： そく、さい,閉塞,へいそく,bế tắc
,梗塞,こうそく,"nhồi máu, nghẽn mạch"
,要塞,ようさい,đồn lũy
"４２６
N2",填,Điền,Lấp kín
音： てん,補填,ほてん,đền bù hay giàn xếp
,装填,そうてん,"nạp, tải, làm đầy"
,充填,じゅうてん,"làm đầy, lấp đầy"
"４２７
N3",境,Cảnh,Biên giới
訓,境,さかい,"ranh giới, giới hạn"
音： きょう,苦境,くきょう,"tình thế khó khăn, nghịch cảnh"
,環境,かんきょう,"hoàn cảnh, môi trường"
,国境,こっきょう,"biên cương, biên giới quốc gia"
,心境,しんきょう,"nội tâm, tâm trạng"
"４２８
N4",増,Tăng,Gia tăng
訓,増やす,ふやす,làm tăng lên
,増える,ふえる,"tăng lên, gia tăng"
,増す,ます,"làm tăng lên, làm hơn"
音： ぞう,増加,ぞうか,"sự gia tăng, sự thêm vào"
,増税,ぞうぜい,tăng thuế
,増大,ぞうだい,"mở rộng, khuyếch trương"
"４２９
N2",墨,Mặc,Mực Tàu
訓,墨,すみ,"mực, mực đen"
音： ぼく,墨書,ぼくしょ,viết bằng mực
,墨守,ぼくしゅ,"sự bảo tồn (truyền thống, phong tục"
,墨汁,ぼくじゅう,mực Tàu
,水墨画,すいぼくが,tranh thủy mặc
"４３０
N3",塾,Thục,Trường tư
訓 じゅく,塾,じゅく,trường tư thục
,塾生,じゅくせい,học sinh trường tư thục
,私塾,しじゅく,"tư thục, việc học riêng ở nhà"
,入塾,にゅうじゅく,sự nhập học trường tư
,,,
"４３１
N2",墜,Trụy,Rơi xuống
音： つい,墜死,ついし,cái chết do rơi từ trên cao
,墜落,ついらく,"trụy lạc, sự rơi từ trên cao"
,撃墜,げきつい,sự bắn rơi may bay
,失墜,しっつい,"sự mất (quyền uy, uy tín)"
"４３２
N2",墳,Phần,Mộ phần
音： ふん,墳墓,ふんぼ,"phần mộ, mộ"
,墳丘,ふんきゅう,"phần mộ, khắc đống đất"
,古墳,こふん,mộ cổ
"４３３
N4",壊,Hoại,"Bị hư, phá hoại"
音,壊す,こわす,"làm hư, phá hoại"
