音： かつ,活動,かつどう,hoạt động
,活気,かっき,sự sôi nổi
,生活,せいかつ,"cuộc sống, sinh hoạt"
,復活,ふっかつ,"sự hồi phục, sự phục hưng"
"１１４７
N4",洋,Dương,"Biển, Tây phương"
音： よう,洋服,ようふく,Âu phục
,洋酒,ようしゅ,rượu Tây
,洋食,ようしょく,món ăn Tây
,洋菓子,ようがし,bánh Tây
,西洋,せいよう,Tây Dương
"１１４８
N2",浅,Thiển,Nông cạn
訓,浅い,あさい,cạn
,浅ましい,あさましい,"tồi tệ, đáng xấu hổ"
音： せん,浅見,せんけん,tầm nhìn thiển cận
,浅学,せんがく,sự hiểu biết nông cạn
,浅海,せんかい,biển nông
"１１４９
N4",泉,Tuyền,Suối
訓,泉,いずみ,con suối
音： せん,泉水,せんすい,nước suối
,温泉,おんせん,suối nước nóng
,源泉,げんせん,"nguồn gốc, gốc rễ"
,霊泉,れいせん,con suối linh thiêng
"１１５０
N5",洗,Tẩy,"Rửa, giặt"
訓,（を）洗う,（を）あらう,"rửa, giặt"
音： せん,洗浄,せんじょう,"việc vệ sinh, làm sạch"
,洗礼,せんれい,phép rửa tội
,洗面,せんめん,sự tắm rửa
,水洗,すいせん,việc rửa bằng nước
"１１５１
N3",派,Phái,Đảng phái
音： は,派手,はで,"sặc sỡ, lòe loẹt"
,右派,うは,cánh hữu
,左派,さは,cánh tả
,特派員,とくはいん,đặc phái viên
,立派,りっぱ,"lộng lẫy, tốt, tuyệt"
"１１５２
N2",洪,Hồng,Lũ lụt
音： こう,洪水,こうずい,lũ lụt
,洪積,こうせき,thời kỳ hồng hoang
,,,
"１１５３
N2",浄,Tịnh,Thanh tịnh
音： じょう,浄化,じょうか,việc làm sạch
,浄財,じょうざい,tiền cúng vườn
,浄益,じょうえき,
,不浄,ふじょう,tình trạng dơ bẩn
,清浄,せいじょう,"sự thanh tịnh, sự trong sạch,
sự tinh khiết"
"１１５４
N2",津,Tân,Bến cảng
訓,津波,つなみ,sóng thần
音： しん,入津,にゅうしん,sự nhập cảng
,,,
"１１５５
N2",洞,Động,Hang động
訓,洞,ほら,hang động
音： どう,洞察,どうさつ,sự quan sát và suy đoán
,空洞,くうどう,"lỗ hổng, rỗng ở giữa"
,風洞,ふうどう,ống thông gió
,雪洞,せつどう,hang tuyết
"１１５６
N5",消,Tiêu,"Tắt, biến mất"
訓,（を）消す,（を）けす,"tắt, xóa"
,（が）消える,（が）きえる,biến mất
