"160１
音： よう,腰痛,ようつう,đau thắt lưng
,腰部,ようぶ,vùng xương chậu
"1631
N2",腫,Thủng,Sưng lên
訓,（を）腫らす,（を）はらす,"phồng lên, sưng, giận dữ"
,（が）腫れる,（が）はれる,"bị sưng, bị phồng"
,腫瘍,しゅよう,bị sưng lên
,肉腫,にくしゅ,bướu
"1632
N2",腎,Thận,Quả thận
音： じん,腎臓,じんぞう,thận
,腎炎,じんえん,viêm thận
,腎症,じんしょう,bệnh thận
,腎不全,じんふぜん,suy thận
,肝腎,かんじん,"quan trọng, nền tảng"
"1633
N2",腺,Tuyến,Tuyến dịch
音： せん,涙腺,るいせん,tuyến lệ
,乳腺,にゅうせん,tuyến vú
,胃腺,いせん,dạ dày
,唾液腺,だえきせん,tuyến nước bọt
,甲状腺,こうじょうせん,bướu cổ
"1634
N3",腐,Hủ,"Mục nát, hôi thối"
訓,（が）腐る,（が）くさる,"buồn chán, hư, suy đồi, thối rữa"
音： ふ,腐敗,ふはい,"hủ bại, mục nát"
,腐心,ふしん,hao phí tâm lực
,豆腐,とうふ,đậu hủ
,陳腐,ちんぷ,"lặp đi lặp lại, lỗi thời"
"1635
N2",膜,Mô,Màng (da)
音： まく,網膜,もうまく,võng mạc
,角膜,かくまく,giác mạc
,粘膜,ねんまく,niêm mạc
,鼓膜,こまく,màng nhĩ
,結膜炎,けつまくえん,sưng võng mạc
"1636
N2",膚,Phu,Lớp da
音： ふ,皮膚,ひふ,da
"1637
N2",膝,Tất,Đầu gối
訓,膝,ひざ,đầu gối
音： しつ,膝下,しっか,"khuỷa chân dưới, sự che chở"
,膝関節,しつかんせつ,khớp gối
"1638
N2",膨,Bành,Phình lên
訓,（が）膨らむ,（が）ふくらむ,"bành trướng, nở"
,（が）膨れる,（が）ふくれる,"to lên, phồng ra"
音： ぼう,膨大,ぼうだい,"lớn lên, to ra"
,膨張,ぼうちょう,"sự tăng gia, giãn nở"
,,,
"1639
N2",膳,Thiện,Mâm cỗ
,本膳,ほんぜん,món chính
音： ぜん,一膳,いちぜん,một tô
,客膳,きゃくぜん,thức ăn cho thực khách
,配膳室,はいぜんしつ,phòng để thức ăn
"1640
N2",臆,Ức,Nhút nhát
音： おく,臆病,おくびょう,"sự nhát gian, bẽn lẽn"
,臆説,おくせつ,"sự phỏng đoán, giả thuyết"
,臆断,おくだん,"ước đoán, ước chừng"
,臆面,おくめん,khuôn mặt bẽn lẽn
,剛臆,ごうおく,sự can đảm và hèn nhát
164１ N3,臓,Tạng,Nội tạng
音： ぞう,臓物,ぞうもつ,"ruột, lòng…"
,内臓,ないぞう,nội tạng
164２ N3,臣,Thần,Đại thần
音： しん、じん,忠臣,ちゅうしん,trung thần
,家臣,かしん,"lão bộc, quản gia"
,重臣,じゅうしん,trọng thần
,君臣,くんしん,chủ tớ
164３ N2,臨,Lâm,Lâm thời
訓,（に）臨む,（に）のぞむ,"tiến đến, tiếp cận, hướng tới"
音： りん,臨床,りんしょう,lâm sàng
,臨時,りんじ,"lâm thời, tạm thời"
,臨検,りんけん,"sự khảo sát tại chổ, giám định"
,臨機応変,りんきおうへん,"tùy cơ ứng biến, linh hoạt"
164４ N5,自,Tự,Chính mình
訓,自ら,みずから,"mình, đích thân"
音： じ、し,自分,じぶん,"bản thân mình, tự mình"
,自信,じしん,tự tin
,自治,じち,tự trị
,自然,しぜん,tự nhiên
164５ N3,臭,Xú,Hôi
訓,臭い,くさい,hôi
音： しゅう,悪臭,あくしゅう,mùi thối
,異臭,いしゅう,mùi kinh tởm
,脱臭,だっしゅう,khử mùi
,消臭剤,しょうしゅうざい,chất khử mùi
"1646
N2",至,Chí,"Tột cùng, đưa đến"
訓,（に）至る,（に）いたる,đạt tới
"1647
N2",致,Trí,"Nhất trí, tới cùng"
訓,（を）致す,（を）いたす,làm
,,,
,一致,いっち,"thống nhất, giống nhau, nhất trí"
"1648
N2",臼,Cữu,Cái cối
訓,臼,うす,cái cối
音： きゅう,臼歯,きゅうし,răng hàm
,臼砲,きゅうほう,súng tầm ngắn
,脱臼,だっきゅう,"sai khớp, trẹo"
,,,
"1649
N3",興,Hưng,Hưng thịnh
訓,（を）興す,（を）おこす,phục hồi
,（が）興る,（が）おこる,được dựng lại
音： きょう、こう,興味,きょうみ,hứng thú
,即興,そっきょう,"ứng khẩu, tùy ứng, ngay lập tức"
"1650
N3",舌,Thiệt,Cái lưỡi
訓,舌,した,cái lưỡi
音： ぜつ,冗舌,じょうぜつ,"tính nói nhiều, ba hoa"
,筆舌,ひつぜつ,sự mô tả
,毒舌,どくぜつ,lời nói cay độc
,舌戦,ぜっせん,cuộc khẩu chiến
"1651
N5",舎,Xá,Cư xá
音： しゃ,庁舎,ちょうしゃ,tòa nhà chính phủ
,校舎,こうしゃ,khu trường học
,兵舎,へいしゃ,trại lính
,学舎,がくしゃ,ngôi trường
"1652
N2",舗,Phố,Cửa hàng
音： ほ,舗装,ほそう,mặt đường nhựa
,舗道,ほどう,vỉa hè
,店舗,てんぽ,cửa hàng
,本舗,ほんぽ,cửa hàng chính
,薬舗,やくほ,nhà thuốc
"1653
N4",舞,Vũ,"Nhảy múa, bay lượn"
訓,（が）舞う,（が）まう,"nhảy múa, xao xuyến, xao động"
,,,
,舞,まい,nhảy
音： ぶ,舞台,ぶたい,sân khấu
,舞踊,ぶよう,"vũ điệu, vũ khúc"
,舞踏,ぶとう,sự nhảy múa
"1654
N3",舟,"Châu, Chu",Thuyền
訓,舟,ふね／ふな,thuyền
音： しゅう,舟艇,しゅうてい,tàu nhỏ
,舟運,しゅううん,vận tài bằng tàu
,同舟,どうしゅう,đi cùng tàu
,軽舟,けいしゅう,thuyền nhẹ
"1655
N3",航,Hàng,"Hàng không, hàng hải"
音： こう,航空,こうくう,hàng không
,航行,こうこう,"lái tàu, tuần biển"
,欠航,けっこう,ngưng phục vụ
,運航,うんこう,vận hành hoạt động
,密航,みっこう,buôn lậu
"1656
N3",般,Ban,Tổng quát
音： はん,一般,いっぱん,thông thường
,全般,ぜんぱん,tổng quát
,先般,せんぱん,"gần đây, trước đây không lâu"
,今般,こんぱん,"bây giờ, mới đây"
,万般,ばんぱん,tất cả các thứ
"1657
N4",船,Thuyền,Tàu thuyền
訓,船,ふね／ふな,"tàu, thuyền"
音： せん,船員,せんいん,thuyền viên
,漁船,ぎょせん,tàu đánh cá
,造船,ぞうせん,đóng tàu
,風船,ふうせん,khí cầu
"1658
N2",舶,Bạc,Tàu
,舶来,はくらい,nhập khẩu
,舶載,はくさい,hàng nhập
音： はく,船舶業,せんぱくぎょう「,công nghiệp hàng hải
,巨船,きょはく,tàu biển chở khách
,,,
"1659
N2",舷,Huyền,Mạn thuyền
音： げん,舷窓,げんそう,ô cửa
,舷灯,げんとう,"giương, treo đèn thuyền"
,舷側,げんそく,bên hông tàu
,舷門,げんもん,cửa ra vào trên tàu
,,,
"1660
N2",艇,Đĩnh,Thuyền nhỏ
音： てい,艇庫,ていこ,kho đặt trên tàu
,艇身,ていしん,chiều dài của tàu
,艇長,ていちょう,thuyền trưởng
,艇首,ていくび,mũi thuyền
166１ N2,艦,Hạm,Tàu chiến
音： かん,艦隊,かんたい,hạm đội
,艦船,かんせん,tàu chiến
166２,艮,Bộ Cấn,
166３ N5,良,Lương,Tốt
,良い,よい,"tốt, đẹp, đúng"
,良心,りょうしん,lương tâm
,良好,りょうこう,sự tốt đẹp
,最良,さいりょう,sự tốt nhất
166４ N5,色,Sắc,Màu sắc
訓,色,いろ,màu sắc
音： しょく、しき,特色,とくしょく,"đặc điểm, đặc sắc"
,難色,なんしょく,"sự ko tán thành, sự chê"
,色紙,しきし,giấy màu
,色素,しきそ,sắc tố
166５ N2,艶,Diễm,Bóng bẩy
訓,艶,つや,"độ bóng, sự nhẵn bóng"
音： えん,艶笑,えんしょう,nụ cười quyến rũ
,艶美,えんび,vẻ đẹp mê hoặc
,妖艶,ようえん,"làm mê say, quyến rũ"
,豊艶,ほうえん,khêu gợi
1666,艹,Bộ Thảo,
"1667
N2",芋,Dụ,Khoai
訓,芋,いも,khoai tây
"1669
N6",花,Hoa,Bông hoa
,開花,かいか,nở hoa
,造花,ぞうか,hoa giả
"1670
N3",芸,Nghệ,Nghệ thuật
,芸術,げいじゅつ,nghệ thuật
,芸能,げいのう,sự giải trí
音： げい,文芸,ぶんげい,văn nghệ
,工芸,こうげい,nghề thủ công
,演芸,えんげい,nghệ thuật diễn xuất
"1671
N2",芳,Phương,Thơm
訓,芳しい,かんばしい,thơm
,芳香,ほうこう,nước hoa
,芳紀,ほうき,tuổi dậy thì
,芳烈,ほうれつ,thơm
"1672
N2",芯,Tâm,Cốt lõi
音： しん,芯地,しんじ,sự lót (vải dựng)
,芯測定,しんそくてい,thước đo tâm (máy móc)
"1673
N6",苦,Khổ,Cực khổ
,苦しい,くるしい,cực khổ
,苦い,にがい,đắng
,苦る,にがる,cảm thấy đắng
音： く,苦情,くじょう,sự than phiền
,苦労,くろう,"gian khổ, cam go, khó khăn"
"1674
N5",英,Anh,Tài năng
音： えい,英語,えいご,tiếng anh
,英国,えいこく,nước anh
,英雄,えいゆう,anh hùng
,英明,えいめい,thông minh
,英知,えいち,trí tuệ
"1675
N2",芽,Nha,"Mần, chồi"
訓,芽,め,"búp, mầm"
音： が,発芽,はつが,sự nảy mầm
,麦芽,ばくが,mạch nha
,肉芽,にくが,sự kết hạt (thực vật)
,花芽,かが,nụ hoa
"1676
N5",若,Nhược,Trẻ
,若い,わかい,trẻ
訓,若々しい,わかわかしい,trẻ trung đầy sức sống
,若しくは,もしくは,"hoặc là, hay là"
音： じゃく、にゃく,若輩,じゃくはい,"thiếu niên, tuổi trẻ"
,若湯,わかゆ,tắm nước nóng đầu tiên trong năm
"1677
N2",茂,Mậu,Mọc tốt
訓,（が）茂る,（が）しげる,cây cối xanh tốt
音： も,茂林,もりん,rừng rậm
,繁茂,はんも,"rậm rạp, um tùm"
"1678
N2",苗,Miêu,Cây non
訓,苗,なえ／なわ,cây non
音： びょう、みょう,種苗,しゅびょう,"hạt giống, con giống"
,育苗,いくびょう,việc trồng cây con
,痘苗,とうびょう,vắc-xin
,苗字,みょうじ,họ
"1679
N2",茎,Hành,"Cuống, thân"
訓,茎,くき,"cọng, cuống"
音： けい,茎葉,けいよう,thân và lá cây
,塊茎,かいけい,củ
,花茎,かけい,cuống hoa
,地下茎,ちかけい,rễ
"1680
N2",苛,Hà,Nóng ruột
訓,（を）苛める,（を）いじめる,"bắt nạt, ăn hiếp"
,苛々,いらいら,"bồn chồn, nóng ruột"
音： か,苛性,かせい,chất ăn da
,苛政,かせい,chế độ chuyên quyền
,苛烈,かれつ,"khốc liệt, lạnh lùng"
