"９０６
N4",救,Cứu,Cứu giúp
訓,（を）救る,（を）すくる,tiết kiệm
音： きゅう,救援,きゅうえん,cứu viện
,救済,きゅうさい,cứu tế
,救助,きゅうじょ,cứu trợ
,救命,きゅうめい,cứu tàu đắm
"９０７
N4",敗,Bại,"Thất bại, thua"
訓,（に）敗れる,（に）やぶれる,"thua , bị đánh bại"
音： はい,敗者,はいしゃ,người thua
,敗戦,はいせん,thua trận
,勝敗,しょうはい,sự thắng bại
,失敗,しっぱい,thất bại
"９０８
N5",散,Tán,"Giải tán, tán loạn"
訓,（を）散らす,（を）ちらす,"làm bay (rụng) tơi tả, vứt lung tung"
,（が）散る,（が）ちる,héo tàn
,（を）散らかす,（を）ちらかす,laàm vương vãi
,（が）散らかる,（が）ちらかる,"lung tung, vương vãi"
音： さん,分散,ぶんさん,sự phân tán
"９０９
N4",敬,Kính,Tôn kính
訓,（を）敬う,（を）うやまう,tôn kính
音： けい,敬意,けいい,tôn kính
,敬遠,けいえん,giữ khoảng cách
,敬老,けいろう,kính lão
,尊敬,そんけい,sự tôn kính
"９１０
N2",敢,Cảm,Dũng cảm
音： かん,敢行,かんこう,kiên quyết thực hiện
,敢然,かんぜん,"mạnh mẽ, quyết liệt"
,敢闘,かんとう,chiến đấu dũng cảm
,果敢,かかん,"quả cảm, gan dạ"
,勇敢,ゆうかん,dũng cảm
"９１１
N5",数,Số,"Con số, đếm"
訓,（を）数える,（を）かぞえる,đếm
,数,かず,"con số, đếm"
音： すう,数人,すうにん,vài người
,人数,にんずう,số người
,多数,たすう,đa số
"９１２
N2",敵,Địch,Kẻ thù
訓,敵,かたき,kẻ địch
音： てき,敵意,てきい,"oán thù, thù địch"
,匹敵,ひってき,"đối thủ ngang tầm, đuổi kịp"
,強敵,きょうてき,kẻ địch mạnh
,素敵,すてき,tuyệt vời
"９１３
N2",敷,Phu,"Trải, lát"
訓,（を）敷く,（を）しく,"trải, lát, đệm lắp đặt"
音： ふ,敷設,ふせつ,xây dựng (đường xá)
,,,
,,,
,,,
"９１４
N4",整,Chỉnh,Điều chỉnh
訓,（を）整える,（を）ととのえる,"chuẩn bị, sẵn sàng, sắp đặt"
,（が）整う,（が）ととのう,"tiết kiệm, góp nhặt"
音： せい,整理,せいり,chỉnh lý
,整合,せいごう,"phối hợp, phù hợp"
,調整,ちょうせい,điều chỉnh
"９１５
N5",文,Văn,Văn tự
訓,文,ふみ,"câu, văn chương, văn tự"
,文学,ぶんがく,văn học
音： ぶん、もん、も,文明,ぶんめい,văn minh
,注文,ちゅうもん,"đặt hàng, gọi món"
,文字,もじ,"chữ cái, văn tự"
"９１６
N2",斑,Ban,Hoa văn
音： はん,斑点,はんてん,"chấm nhỏ, đốm nhỏ, vết dơ"
,斑紋,はんもん,làm đốm đốm
,白斑,はくはん,đốm trắng
,母斑,ぼはん,bệnh bạch biến
,黄斑,おうはん,điểm vàng
"９１７
N3",斗,Đẩu,Sao Bắc Đẩu
音： と,北斗,ほくと,sao bắc đẩu
,南斗,なんと,sao nam đẩu
,一斗,いっと,một đấu
,泰斗,たいと,uy quyền lớn
"９１８
N5",料,Liệu,Nguyên liệu
音： りょう,料金,りょうきん,"tiền phí, tiền thù lao"
,食料,しょくりょう,nguyên liệu nấu ăn
,原料,げんりょう,"chất liệu, thành phần"
,材料,ざいりょう,"vật liệu, tàu liệu"
,給料,きゅうりょう,lương bổng
"９１９
N2",斜,Tà,"Xiên, nghiêng"
訓,斜め,ななめ,"nghiêng, chéo, xiên"
音： しゃ,斜面,しゃめん,mặt nghiêng
,斜陽,しゃよう,mặt trời về chiều
,斜線,しゃせん,"đường chéo, đường xiên"
,傾斜,けいしゃ,"dốc nghiêng, góc xiên"
"９２０
N3",斤,Cân,Một cân tạ (16 lạng)
音： きん,斤目,きんめ,làm nặng thêm
,斤量,きんりょう,"khối lượng, trọng lượng"
