音： へき,完璧,かんぺき,hoàn hảo,
130４ N2,璽,Tỷ,Con dấu (vua),
音： じ,国璽,こくじ,"quốc tỷ, con dấu của một nước",
,御璽,ぎょじ,"ngự tỷ, con dấu của vua",
,玉璽,ぎょくじ,"ngọc tỷ, con dấu quý",
,印璽,いんじ,"ấn tỷ, con dấu của vua",
130５ N2,瓦,Ngõa,Ngói,
訓,瓦,かわら,ngói,
音： が,瓦解,がかい,"bại hoại, sụp đổ, tan rã",
,,,,
"1306
N2",瓶,Bình,Chai lọ,
音： びん,花瓶,かびん,bình hoa,
,土瓶,どびん,ấm đất,
,鉄瓶,てつびん,ấm sắt,
,大瓶,おおびん,"cái bình lớn, chai lớn",
,角瓶,かくびん,bình hình chữ nhật,
"1307
N4",甘,Cam,Ngọt,
訓,甘い,あまい,ngọt,
,（を）甘やかす,（を）あまやかす,nuông chiều,
,（に）甘える,（に）あまえる,"nhõng nhẽo, được nuông chiều",
音： かん,甘受,かんじゅ,"can tâm chấp nhận, bằng lòng",
,甘露,かんろ,"vị ngọt, vị ngon",
"1308
N2",甚,Thậm,"Rất, quá, lắm",
訓,甚だしい,はなはだしい,"rất, quá, lắm",
,,,,
,甚だ,はなはだ,"rất, quá, lắm",
音： じん,甚句,じんく,thể loại ca dao truyền thống,
,甚大,じんだい,"rất lớn, quá lớn",
,激甚,げきじん,"rất trầm trọng, rất nghiêm trọng",
"1309
N5",生,Sinh,Sinh sống,
訓,生,なま,"chưa nấu chín, thuần khiết",
,（を）生む,（を）うむ,"sinh ra, tạo ra cái mới",
,（が）生まれる,（が）うまれる,"được sinh ra, được tạo ra",
,（を）生やす,（を）はやす,để râu tóc mọc dài ra,
,（が）生える,（が）はえる,"mọc, phát triển , lớn lên",
,（に）生きる,（に）いきる,"sống, sinh tồn",
,（を）生ける,（を）いける,"cắm hoa, duy trì cuộc sống được",
,（を）生かす,（を）いかす,"làm sống lại, phát huy, tận dụng",
,（が）生（じる／ずる）,（を）しょう（じる／ずる）,"sinh ra, xảy ra",
音： せい、しょう、じょう,人生,じんせい,"cuộc đời, đời người",
,一生,いっしょう,"cả đời, suốt đời, duy nhất trong đời",
,誕生日,たんじょうび,ngày sinh nhật,
"1310
N5",産,Sản,"Đẻ, sản xuất",
訓,（を）産む,（を）うむ,đẻ ra,
,（が）産まれる,（が）うまれる,được đẻ ra,
,産,うぶ,"đầu tiên, đầu đời",
音： さん,産業,さんぎょう,các ngành nghề sản xuất,
,出産,しゅっさん,sinh đẻ,
"1311
N5",用,Dụng,"Sử dụng, dùng",
訓,（を）用いる,（を）もちいる,"sử dụng, dùng",
