"2001
音： えい,鋭意,えいい,"hăm hở, hăng hái, nghiêm túc"
,鋭利,えいり,sự sắc bén
,鋭敏,えいびん,"nhạy bén, thấu hiểu"
,精鋭,せいえい,tinh nhuệ
"2030
N2",鋳,Chú,Đúc quặng
訓,（を）鋳る,（を）いる,đúc
,鋳物師,いものし,thợ đúc
音： ちゅう、い,鋳造,ちゅうぞう,việc đúc
,改鋳,かいちゅう,"rèn lại, đúc lại"
,電鋳,でんちゅう,sự đúc điện
"2031
N4",録,Lục,Ghi chép
音： ろく,録画,ろくが,ghi hình
,録音,ろくおん,ghi âm
,付録,ふろく,"phục lục, quà tặng kèm, phụ kiện"
,目録,もくろく,"danh sách, mục lục"
,余禄,よろく,"tiền ngoài, bổng lộc"
"2032
N2",鋼,Cương,Chất thép
訓,鋼,はがね,"thép, gang"
音： こう,鋼材,こうざい,"vật liệu sắt, cốt thép"
,鋼管,こうかん,ống thép
,鋼板,こうはん,"tấm thép, lá thép"
,製鋼,せいこう,tôi luyện sản xuất
"2033
N2",錯,Thác,Lộn xộn
音： さく、しゃく,錯乱,さくらん,"lẫn lộn, xao lãng, xáo trộn"
,錯雑,さくざつ,"phức tạp, rắc rối, biến chứng"
,錯覚,さっかく,ảo giác
,倒錯,とうさく,"sự lệch lạc, biến thái"
,介錯人,かいしゃくにん,trợ lý
"2034
N3",錠,Đĩnh,Viên thuốc
音： じょう,施錠,せじょう,"khóa , chốt"
,一錠,いちじょう,một khay
,錠剤,じょうざい,viên nén
,錠前,じょうまえ,"thanh chắn cửa, thanh cài cửa"
"2035
N2",錬,Luyện,"Rèn, đúc"
音： れん,錬成,れんせい,"huấn luyện, đào tạo"
,精錬,せいれん,"tinh luyện, tinh chế"
,鍛錬,たんれん,sự rèn luyện
,熱錬,ねつれん,nhiệt luyện
,修錬,しゅうれん,"văn hóa, khoan, thực hành"
"2036
N2",錦,Cẩm,Thổ cẩm
訓,錦,にしき,gấm
音： きん,錦旗,きんき,cờ hiệu
,錦地,きんち,dinh thự
2038N2,鍛,Đoán,Rèn luyện
,鍛工,たんこう,thợ rèn
,鍛接,たんせつ,hàn sắt
,鍛鉄,たんてつ,"luyện sắt, tôi rèn sắt"
"2039
N3",鍵,Kiện,Chìa khóa
訓,鍵,かぎ,chìa khóa
音： けん,鍵盤,けんばん,"bàn phím, phím đàn"
,打鍵,だけん,"đánh phím, gõ phím"
"2040
N2",鍋,Oa,Cái nồi
訓,鍋,なべ,"chảo, xoong, nồi"
,鍋物,なべもの,món lẩu
,平鍋,ひらなべ,cái vỉ
,鍋尻,なべじり,đít nồi
,鍋底,なべぞこ,đáy nồi
20４１ N2,鎖,Tỏa,"Đóng, chuỗi"
訓,鎖,くさり,"cái xích, xiềng"
,鎖国,さこく,bế quan tỏa cảng
,閉鎖,へいさ,phong bế
,封鎖,ふうさ,sự phong tỏa
20４２ N2,鎮,Trấn,Làm cho êm
訓,（を）鎮める,（を）しずめる,"đèn nén, trấn áp, làm bớt đi"
,（が）鎮まる,（が）しずまる,bị đèn nén
音： ちん,鎮静,ちんせい,sự trấn tĩnh
,鎮守,ちんじゅ,"trấn thủ, thần thổ địa"
,重鎮,じゅうちん,"dây cột buồm, người lãnh đạo"
20４３ N2,鎌,Liêm,Cái liềm
訓,鎌,かま,cái liềm
