"1681
N3",草,Thảo,Cỏ
訓,草,くさ,cây cỏ
音： そう,草案,そうあん,"bản nháp, bản phác thảo"
,除草,じょそう,nhổ cỏ
,雑草,ざっそう,cỏ dại
,牧草,ぼくそう,bãi cỏ
"1682
N5",茶,Trà,Trà
訓,お茶,おちゃ,trà
音： さ,茶道,さどう,trà đạo
,喫茶店,きっさてん,quán nước
"1683
N3",荒,Hoang,Bỏ honag
訓,（を）荒らす,（を）あらす,"phá hủy, gây thiệt hại"
,（が）荒れる,（が）あれる,"bão bùng, cuồng loạn, bỏ hoang"
,荒い,あらい,"gấp gáp, dữ dội"
音： こう,荒廃,こうはい,"sự tàn phá, sự hủy hoại"
,荒野,こうや,vùng đất hoang vu
"1684
N2",荘,Trang,Biệt thự
音： そう,荘園,そうえん,điền viên
,荘重,そうちょう,trang trọng
,別荘,べっそう,biệt thự
,山荘,さんそう,nhà nghỉ trên núi
,,,
"1685
N2",茨,Tỳ,Gai góc
訓,茨城,いばらき,tình ibaraki
"1686
N5",荷,Hà,Hành lý
訓,倉荷,くらに,hàng hóa trong kho
音： か,入荷,にゅうか,"sự nhập hàng, sự nhận hàng"
,出荷,しゅっか,"đưa hàng, giao hàng"
,集荷,しゅうか,tập hợp hàng hóa
,負荷,ふか,"gánh vác, tải trọng"
"1687
N3",華,Hoa,Trung hoa
訓,華やか（な）,はなやか（な）,màu sắc tươi
音： か、け,中華,ちゅうか,trung hoa
,昇華,しょうか,thăng hoa
,精華,せいか,tinh hoa
,香華,こうげ,hương hoa
"1688
N4",菜,Thái,Rau
訓,菜,な,rau cỏ
音： さい,菜園,さいえん,vườn rau
,菜食,さいしょく,việc ăn chay
,野菜,やさい,rau
,乾菜,かんさい,rau khô
"1689
N2",著,Trứ,Nổi tiếng
訓,著しい,いちじるしい,đáng kể
,（を）著す,（を）あらわす,"viết, xuất bản"
音： ちょ,著者,ちょしゃ,"tác giả, nhà văn"
,著名,ちょめい,"trứ danh, nổi tiếng"
,著書,ちょしょ,tác phẩm
"1690
N5",菓,Quả,Bánh kẹo
音： か,菓子,かし,bánh kẹo
,製菓,せいか,sản xuất bánh kẹo
,茶菓,ちゃか,chè và hoa quả
,乳菓,にゅうか,kẹo sữa
,糖菓,とうか,bánh tráng
"1691
N2",菊,Cúc,Hoa cúc
訓,菊,きく,hoa cúc
"1692
N2",菌,Khuẩn,Vi khuẩn
音： きん,細菌,さいきん,vi trùng
,殺菌,さっきん,sát khuẩn
,抗菌,こうきん,kháng khuẩn
,球菌,きゅうきん,khuẩn cầu
,雑菌,ざっきん,vi sinh vật
"1693
N2",萎,Nuy,Héo tàn
訓,（が）萎える,（が）なえる,(sức lực) trở nên yếu
,,,
,（が）萎む,（が）しぼむ,"chắc chắn, ổn định"
音： い,萎縮,いしゅく,"làm héo, hao mòn"
"1694
N4",葉,Diệp,Lá
訓,葉,は,lá cây
音： よう,紅葉,こうよう,lá đỏ
,枝葉,しよう,cành và lá
,腐葉土,ふようど,đất mùn
"1695
N4",落,Lạc,Rơi
訓,（を）落とす,（を）おとす,làm rơi
,（が）落ちる,（が）おちる,tự rơi
音： らく,落石,らくせき,đá rơi
,下落,げらく,sự sụt giảm
,暴落,ぼうらく,"suy giảm nhanh, sụt nhanh"
"1696
N3",葬,Táng,Chôn cất
訓,（を）葬る,（を）ほうむる,"chôn cất, đóng vào"
音： そう,葬儀,そうぎ,"hậu sự, lễ tang"
,葬式,そうしき,đám ma
,国葬,こくそう,quốc tang
,火葬,かそう,hỏa táng
"1697
N2",葛,Cát,Dây sắn
訓,葛,くず,sắn dây rừng
音： かつ,葛藤,かっとう,"xung đột, sự phức tạp"
"1698
N3",蒸,Chưng,Bốc hơi
訓,（を）蒸す,（を）むす,chưng cách thủy
音： じょう,蒸気,じょうき,hơi nước
,蒸発,じょうはつ,"sự biến mất, sự bốc hơi"
,蒸散,じょうさん,"làm khô, bay hơi"
,蒸気,じょうき,hơi nước
