"801
,（を）抱く,（を）いだく,"ôm hoài bão, ước mơ"
,（を）抱える,（を）かかえる,"ôm hận, mang nợ, kẹp nách"
音： ほう,抱負,ほうふ,"hoài bão, mong muốn"
,介抱,かいほう,chăm sóc
"８２８
N2",拘,Câu,Câu nệ
訓,（に）拘る,（に）こだわる,để ý từng chi tiết nhỏ
音： こう,拘置,こうち,bắt giam
,拘束,こうそく,"bó buộc, ràng buộc"
,拘禁,こうきん,giam giữ
,拘留,こうりゅう,bắt giữ
"８２９
N2",抽,Trừu,Trừu tượng
音： ちゅう,抽選,ちゅうせん,bốc thăm
,抽象,ちゅうしょう,trừu tượng
,抽出,ちゅうしゅつ,"trích ra, chiết xuất"
,,,
"８３０
N2",拐,Quải,Bắt cóc
音： かい,誘拐,ゆうかい,bắt cóc
,拐取,かいしゅ,bắt cóc
,拐帯,かいたい,"biển thủ tiền công, chiếm đoạt"
,,,
,,,
"８３１
N2",拒,Cự,Cự tuyệt
訓,（を）拒む,（を）こばむ,từ chối
音： きょ,拒食,きょしょく,tuyệt thực
,拒絶,きょぜつ,cự tuyệt
,抗拒,こうきょ,chống lại
,,,
"８３２
N2",拙,Chuyết,Vụng về
音： せつ,拙劣,せつれつ,tay nghề thấp
,拙速,せっそく,"cẩu thả, hấp tấp"
,拙守,せっしゅ,phòng thủ yếu
,巧拙,こうせつ,tay nghề
,稚拙,ちせつ,kém cỏi
"８３３
N2",披,Phi,Mở ra
音： ひ,披見,ひけん,mở ra xem
,披講,ひこう,đọc thơ
,披露宴,ひろうえん,tiệc cưới
,,,
,,,
"８３４
N2",抹,Mạt,Chà xát
音： まつ,抹茶,まっちゃ,trà bột
,抹香,まっこう,bột trầm hương
,抹殺,まっさつ,"phớt lờ, xóa sạch"
,抹消,まっしょう,"xóa đi, bôi đi"
,塗抹,とまつ,"sơn phủ lên, bôi đi, xóa đi"
"８３５
N2",拉,Lạp,Bắt cóc
音： ら,拉致,らち,dùng vũ lực bắt đi
,,,
,,,
,,,
"８３６
N4",指,Chỉ,"Ngón tay, chỉ trỏ"
訓,指,ゆび,ngón tay
,（を）指す,（を）さす,chỉ trỏ
音： し,指示,しじ,chỉ thị
,指導,しどう,chỉ đạo
,指定,してい,chỉ định
"８３７
N5",持,Trì,Nắm giữ
訓,（を）持つ,（を）もつ,"nắm giữ, cầm, nắm"
音： じ,持続,じぞく,giữ vững
,支持,しじ,"chống đỡ, ủng hộ"
,保持,ほじ,bảo trì
,堅持,けんじ,kiên trì
"８３８
N5",拾,Thập,"Lượm, nhặt"
訓,（を）拾う,（を）ひろう,"lượm, nhặt"
音： しゅう,拾得,しゅうとく,thu được
,収拾,しゅうしゅう,thu thập
,,,
"８３９
N2",括,Quát,Tổng quát
音： かつ,一括,いっかつ,gộp lại thành một
,総括,そうかつ,"tổng hợp, tổng kết, khái quát"
,拡充,とうかつ,thống nhất lại
,包括,ほうかつ,bao quát
,,,
"８４０
N2",挟,Hiệp,Kẹp lại
訓,（を）担う,（を）はさむ,kẹp
,（が）挟まる,（が）はさまる,bị kẹp
音： きょう,挟殺,きょうさつ,dồn ép đối phương
,挟撃,きょうげき,dồn ép đối phương
,,,
"8４１
N2",拷,Khảo,Tra khảo
音： ごう,拷問,ごうもん,"tra khảo, tra tấn"
"8４２
N2",挑,Khiêu,Khiêu chiến
訓,（に）挑む,（に）いどむ,thử thách
音： ちょう,挑戦,ちょうせん,khiêu chiến
,挑発,ちょうはつ,khiêu khích
"8４３
N2",拶,Tạt,Chào hỏi
音： さつ,挨拶,あいさつ,chào hỏi
"8４４
N2",拭,Thức,"Lau, chùi"
訓,（を）拭く,（を）ふく,"lau, chùi"
,（を）拭う,（を）ぬぐう,lau nước mắt
音： しょく,払拭,ふっしょく,"lau chùi, phủi sạch, xóa tan"
"8４５
N3",振,Chấn,"Vẫy, lắc"
訓,（を）振る,（を）ふる,"vẫy, lắc"
,（が）振るう,（が）ふるう,"phát triển mạnh, tăng lên"
音： しん,振動,しんどう,rung lắc
,振興,しんこう,"thúc đẩy, tăng cường"
,不振,ふしん,"không tốt, không hưng thịnh"
"846
N2",捕,Bổ,Bắt
訓,（を）捕まえる,（を）つかまえる,bắt
,（が）捕まる,（が）つかまる,bị bắt
,（を）捕る,（を）とる,bắt
,（を）捕らえる,（を）とらえる,bắt
音： ほ,捕獲,ほかく,"bắt giữ, săn bắt được"
"847
N2",捜,Sưu,Tìm kiếm
訓,（を）捜す,（を）さがす,tìm kiếm
音： そう,捜査,そうさ,điều tra
,捜索,そうさく,tìm kiếm
,特捜,とくそう,điều tra đặc biệt
"848
N2",挿,Tháp,Lồng vào
訓,（を）挿す,（を）さす,"cắm vào, cài vào, gắn vào"
音： そう,挿話,そうわ,"tình tiết, câu truyện lồng vào"
,挿図,そうず,hình minh họa
,挿画,そうが,hình minh họa
,挿入,そうにゅう,lồng vào
"849
N2",挨,Tạt,Chào hỏi
音： あい,挨拶,あいさつ,chào hỏi
"850
N3",挫,Tỏa,Đổ vỡ
訓,（を）挫く,（を）くじく,"bong gân, làm yếu đi"
,（が）挫ける,（が）くじける,"bị bong gân, mất đi"
音： ざ,挫折,ざせつ,"thất bại, mất tinh thần"
,挫傷,ざしょう,vết bầm
,捻挫,ねんざ,bong gân
"851
N2",捉,Tróc,Nắm bắt
訓,（を）捉える,（を）とらえる,nắm bắt
音： そく,捕捉,ほそく,bổ sung thêm
"852
N2",捗,Bộ,Tiến bộ
訓,（が）捗る,（が）はかどる,tiện lợi
音： ちょく,進捗,しんちょく,thuận lợi
"853
N3",採,Thái,"Bắt, hái, chấm điểm, tuyển dụng"
訓,（を）採る,（を）とる,bắt
音： さい,採用,さいよう,"sử dụng, tuyển dụng"
,採点,さいてん,chấm điểm
,採決,さいけつ,biểu quyết
,採択,さいたく,lựa chọn
"854
N5",授,Thụ,Truyền thụ
訓,（を）授ける,（を）さずける,"ban thưởng, trao huân chương"
,（を）授かる,（を）さずかる,"được ban thưởng, được trao"
音： じゅ,授受,じゅじゅ,việc trao nhận
,授業,じゅぎょう,giờ học
,教授,きょうじゅ,giảng viên
"855
N3",接,Tiếp,Tiếp nối
訓,（を）接ぐ,（を）つぐ,"ghép lại, nối lại"
,（に）接する,（に）せっする,tiếp xúc
音： せつ,面接,めんせつ,phỏng vấn
,密接,みっせつ,mật thiết
,接触,せっしょく,tiếp xúc
"856
N5",捨,Xả,Vứt bỏ
