"1
訓,乳,ちち／ち,vú động vật
音： にゅう,乳歯,にゅうし,răng sữa
,豆乳,とうにゅう,sữa đậu nành
,牛乳,ぎゅうにゅう,sữa
"３０
N3",乾,Can,Khô
訓,乾かす,かわかす,hong khô
,乾く,かわく,khô ráo
音： かん,乾季,かんき,mùa khô
,乾杯,かんぱい,cạn ly
,乾燥,かんそう,"khô khan, nhạt nhẽo"
,,,
"３１
N3",乱,Loạn,Đảo lộn
訓,乱す,みだす,đảo lộn
,乱れる,みだれる,bị lộn xộn
音： らん,乱用,らんよう,sự lạm dụng
,乱暴,らんぼう,vô lễ
,混乱,こんらん,hỗn loạn
"３２
N3",了,Liễu,Kết thúc
音： りょう,了解,りょうかい,sự hiểu rõ
,了承,りょうしょう,sự tán thành
,完了,かんりょう,hoàn thành
,終了,しゅうりょう,kết thúc
,修了,しゅうりょう,kết thúc(khóa học)
"３３
N4",予,Dự,Dự định
訓,予め,あらかじめ,sẵn sàng
音： よ,予定,よてい,dự định
,予約,よやく,đặt trước
,予想,よそう,dự đoán
,予報,よほう,dự báo
"３４
N3",争,Tranh,Cạnh tranh
訓,争う,あらそう,cạnh tranh
音： そう,戦争,せんそう,chiến tranh
,競争,きょうそう,thi đấu
,論争,ろんそう,tranh luận
,紛争,ふんそう,tranh chấp
"３５
N5",事,Sự,Sự việc
訓,仕事,しごと,công việc
,物事,ものごと,sự việc
音： じ,事故,じこ,sự cố
,事件,じけん,sự kiện
,事務所,じむしょ,văn phòng
"３６
N5",二,Nhị,Số hai
訓,二つ,ふたつ,hai cái
,二人,ふたり,hai người
,二晩,ふたばん,hai đêm
音： に,二百,にひゃく,hai trăm
,二度,にど,hai lần
"３７
N3",互,Hổ,Tương hổ
訓,互い,たがい,song phương
音： ご,互助,ごじょ,sự giúp đỡ
,互換,ごかん,thay cho nhau
,相互,そうご,sự qua lại
,交互,こうご,sự tương tác
"３８
N5",五,Ngũ,Số năm
訓,五つ,いつつ,năm cái
音： ご,五感,ごかん,năm giác quan
,五色,ごしき,năm màu sắc
,五輪,ごりん,thế vận hội
,五塔,ごとう,năm tòa tháp
"３９
N2",井,Tỉnh,Cái giếng
訓,井戸,いど,cái giếng
音： せい、じょう,井泉,せいせん,giếng nước
,油井,ゆせい,giếng dầu
,市井,しせい,phố thị
,天井,てんじょう,trần nhà
"４０
N2",亜,Á,Châu Á
音： あ,亜州,あしゅう,Châu Á
,亜鉛,あえん,kẽm
,亜種,あしゅう,sinh vật học (loài phụ)
,亜麻,あま,sợi lanh
"４１
N5",亡,Vong,Tử vong
訓,（を）亡くす,（を）なくす,làm mất
,（が）亡くなる,（が）なくなる,qua đời
音： ぼう,死亡,しぼう,qua đời
,滅亡,めつぼう,sự diệt vong
,逃亡,とうぼう,chạy trốn
"４２
N5",交,Giao,Trao đổi
訓,交わす,かわす,trao đổi
,交う,かう,
,交じる,まじる,
,交ぜる,まぜる,pha trộn
,交ざる,まざる,
,交える,まじえる,
,交わる,まじわる,giao nhau
音： こう,交換,こうかん,chuyển đổi
,交流,こうりゅう,giao lưu
"４３
N2",享,Hưởng,Thưởng thức
音： きょう,享受,きょうじゅ,hưởng thụ
,享楽,きょうらく,ham mê
,享年,きょうねん,hưởng thọ
,享有,きょうゆう,được hưởng
,,,
"４４
N5",京,Kinh,Kinh đô
音： きょう、けい,東京,とうきょう,đông kinh
,上京,じょうきょう,lên tokyo
,帝京,ていきょう,kinh đô
,帰京,ききょう,về thủ đô
,京阪,けいはん,kyoto và osaka
,,,
,,,
"４５
N2",亭,Đình,Gian hàng
音： てい,亭主,ていしゅ,người chủ gia đình
,旅亭,りょてい,nhà trọ
,料亭,りょうてい,nhà hàng (Nhật)
,,,
"４６
N5",人,Nhân,Người
訓,人,ひと,người
音： にん、じん,人気,にんき,ưa chuộng
,人間,にんげん,con người
,個人,こじん,cá nhân
,人事,じんじ,nhân sự
４７,イ,Bộ nhân đứng,
４８,儿,Bộ nhân đi,
４９,𠆢,Bộ nhân nón,
"５０
N5",今,Kim,Bây giờ
訓,今更,いまさら,đến lúc này
音： こん、きん,今日,こんにち,ngày nay
,今春,こんしゅん,xuân năm nay
,今古,きんこ,xưa và nay
,*今朝,けさ,sáng nay
,*今日,きょう,hôm nay
,*今年,ことし,năm nay
"５１
N3",仏,Phật,Tượng phật
訓,仏,ほとけ,đức phật
音： ぶつ,仏教,ぶっきょう,phật giáo
,仏壇,ぶつだん,bàn thờ
,仏像,ぶつぞう,tượng phật
,仏語,ふつご,ngôn từ nhà phật
,,,
"５２
N2",仁,Nhân,Người
音： じん,仁義,じんぎ,nhân nghĩa
,仁愛,じんあい,nhân ái
,仁者,じんしゃ,người hiền lành
,,,
"５３
N5",介,Giới,Giới thiệu
音： かい,介入,かいにゅう,sự can thiệp
,介助,かいじょ,trợ lý
,紹介,しょうかい,giới thiệu
,仲介,ちゅうかい,môi giới
,厄介,やっかい,chuyện rắc rối
"５４
N5",仕,Sĩ,Viên chức
訓,仕える,つかえる,phụng sự
音： し,仕事,しごと,công sự
,仕手,して,vai chính
,仕様,しよう,"phương pháp, tài liệu"
,奉仕,ほうし,sự phục vụ
"５５
N4",他,Tha,Ngoài ra
訓,他（に／の）,ほか（に／の）,ngoài ra
音： た,他人,たにん,người khác
,他国,たこく,nước khác
,他社,たしゃ,công ty khác
,他方,たほう,hướng khác
"５６
N4",代,Đại,Thời đại
訓,（を）代える,（を）かえる,thay đổi
,（が）代わる,（が）かわる,thay đổi
,代,よ,thế giới
,代,しろ,thế giới
音： だい,代表,だいひょう,đại biểu
,時代,じだい,thời đại
"５７
N5",以,Dĩ,Cột mốc
音： い,以上,いじょう,"hơn, nhiều hơn"
,以下,いか,dưới mức
,以内,いない,trong phạm vi
,以外,いがい,ngoài phạm vi
,以前,いぜん,dạo trước
"５８
N5",付,Phó,Nối vào
訓,（を）付ける,（を）つける,"gắn, đính kèm vào"
,（が）付く,（が）つく,"gắn, đính kèm vào"
音： ふ,付近,ふきん,phụ cận
,寄付,きふ,kính tặng
,給付,きょうふ,troợ cấp
"５９
N4",令,Lệnh,Mệnh lệnh
音： れい,令和,れいわ,niên hiệu
,命令,めいれい,mệnh lệnh
,法令,ほうれい,pháp lệnh
,指令,しれい,chỉ thị
,伝令,でんれい,truyền lệnh
"６０
N2",仙,Tiên,Tiên nhân
音： せん,仙台,せんだい,tên địa danh
,仙人,せんにん,tiên nhân
,仙薬,せんやく,tiên dược
,仙境,せんきょう,tiên cảnh
,水仙,すいせん,hoa thủy tiên
"61
N5",会,Hội,Gặp gỡ
訓,会う,あう,gặp gỡ
音： かい、え,大会,たいかい,đại hội
,会談,かいだん,hội đàm
,会社,かいしゃ,công ty
,会釈,えしゃく,cúi chào
"62
N5",休,Hưu,Nghỉ ngơi
訓,休む,やすむ,nghỉ ngơi
,休み,やすみ,"nghỉ, vắng mặt"
,休める,やすめる,"nghỉ ngơi, xả hơi"
,休まる,やすまる,"nghỉ ngơi, yên ổn"
音： きゅう,休日,きゅうじつ,ngày nghỉ
,休業,きゅうぎょう,ngừng kinh doanh
,連休,れんきゅう,kỳ nghỉ
"６３
N4",仲,Trọng,Mối quan hệ
訓,仲間,なかま,bạn bè
,仲直り,なかなおり,hòa giải
,仲良し,なかよし,hòa thuận
音： ちゅう,仲裁,ちゅうさい,trọng tài
,仲介,ちゅうかい,môi giới
,*仲人,なこうど,người làm mối
"６４
N5",伝,Truyền,Truyền đạt
訓,伝える,つたえる,truyền đạt
,伝わる,つたわる,được truyền
,伝う,つたう,đi theo
音： でん,伝統,でんとう,truyền thống
,伝言,でんごん,lời nhắn
"６５
N2",仮,Giả,Giả định
訓,仮,かり,giả định
音： か、け,仮定,かてい,giả định
,仮説,かせつ,giả thuyết
,仮名,かめい,bút danh
,仮病,けびょう,giả bệnh
,,,
,,,
,,,
"６６
N4",件,Kiện,Điều kiện
音： けん,件名,けんめい,"đề tài, tiêu đề"
,用件,ようけん,việc
,条件,じょうけん,điều kiện
,本件,ほんけん,vấn đền này
,事件,じけん,sự kiện
"６７
N3",任,Nhiệm,Trách nhiệm
訓,任す,まかす,đảm nhiệm
,任せる,まかせる,giao phó
音： にん,任期,にんき,nhiệm kỳ
,任務,にんむ,nhiệm vụ
,責任,せきにん,trách nhiệm
"６８
N3",仰,Ngưỡng,Tín ngưỡng
訓,仰ぐ,あおぐ,ngước mặt lên
,仰せ,おおせ,lệnh
音： ぎょう、こう,仰天,ぎょうてん,nhìn trời
,仰視,ぎょうし,sự tôn kính
,信仰,しんこう,tín ngưỡng
"６９
N2",企,Xí,Xí nghiệp
訓,企てる,くわだてる,dự tính
音： き,企業,きぎょう,doanh nghiệp
,企画,きかく,kế hoạch
,企図,きと,dự án
,企及,ききゅう,"cố gắng, nổ lực"
"７０
N3",伐,Phạt,Chinh phạt
音： ばつ,伐採,ばっさい,chặt cây
,伐倒,ばっとう,đốn ngã
,乱伐,らんばつ,chặt phá bừa bãi
,殺伐,さつばつ,tàn bạo
,征伐,せいばつ,chinh phạt
"７１
N2",伏,Phục,Cúi người
訓,伏す,ふす,cúi xuống
,伏せる,ふせる,bố trí
音： ふく,伏兵,ふくへい,phục binh
,伏線,ふくせん,phòng bị
,降伏,こうふく,đầu hàng
"７２
N2",伎,kĩ,Kĩ nghệ
音： き、ぎ,歌舞伎,かぶき,ca vũ kịch
,伎楽,ぎがく,âm nhạc cổ
,,,
,,,
,,,
"７３
N5",何,Hà,Cái gì
訓,何,なん／なに,cái gì?
,何度,なんど,nhiều lần
,何階,なんがい,tầng mấy
,何事,なにごと,chuyện gì
音： か,幾何,きか,hình học
"７４
N5",作,Tác,Chế tác
訓,（を）作る,（を）つくる,làm
音： さく、さ,工作,こうさく,nghề thủ công
,制作,せいさく,chế tác
,作品,さくひん,tác phẩm
,作用,さよう,tác dụng
"７５
N5",体,Thể,Cơ thể
訓,体,からだ,cơ thể
音： たい,体力,たいりょく,thể lực
,体育,たいいく,thể dục
,団体,だんたい,đoàn thể
,全体,ぜんたい,toàn thể
"７６
N5",住,Trú,Cư trú
訓,住む,すむ,sinh sống
,住まい,すまい,chổ cư trú
音： じゅう,住所,じゅうしょ,địa chỉ
,住民,じゅうみん,dân cư
,永住,えいじゅう,cư trú lâu dài
"７７
N4",位,Vị,Vị trí
訓,位,くらい,khoảng
音： い,位置,いち,vị trí
,地位,ちい,địa vị
,単位,たんい,đơn vị
,上位,じょうい,"vị trí cao, máy chủ"
"７８
N5",低,Đê,Thấp
訓,低い,ひくい,thấp
,低める,ひくめる,làm cho thấp
,低まる,ひくまる,bị làm cho thấp
音： てい,低気圧,ていきあつ,áp suất thấp
,低迷,ていめい,sự mờ mịt
"７９
N4",似,Tự,Tương tự
訓,似る,にる,giống nhau
音： じ,類似,るいじ,sự giống nhau
,疑似,ぎじ,nghi ngờ
,酷似,こくじ,giống với…
,相似,そうじ,tương tự
"８０
N3",余,Dư,Dư thừa
訓,余り,あまり,không lắm
,余す,あます,để dành
,余る,あまる,bị bỏ lại
音： よ,余裕,よゆう,phần dư ra
,余分,よぶん,phần thừa
