訓,凝らす,こらす,"ngưng tụ, nheo mắt"
,凝る,こる,"đông lại, mỏi, say mê"
音： ぎょう,凝固,ぎょうこ,"ngưng kết, ngưng tụ"
,凝縮,ぎょうしゅく,"cô đọng, đặc lại"
,凝集,ぎょうしゅう,"dính liền, kết dính"
"１87
N2",凡,Phàm,Tầm thường
音： ぼん、はん,非凡,ひぼん,phi phàm
,平凡,へいぼん,bình thường
,凡人,ぼんじん,người tầm thường
,凡庸,ぼんよう,sự tầm thường
,凡例,はんれい,"phương châm, hướng dẫn"
"１88
N3",処,Xử,Xử lý
訓,処する,しょする,kết án
音： しょ,処理,しょり,sự xử lí
,処置,しょち,xử lí
,処罰,しょばつ,xử phạt
,対処,たいしょ,đối xử
１89,凵,Bộ khảm,
"１90
N2",凶,Hung,"Hung ác, dữ"
音： きょう,凶作,きょうさく,mất mùa
,凶悪,きょうあく,"hung ác, dữ"
,凶器,きょうき,hung khí
,大凶,だいきょう,đại hung
,吉凶,きっきょう,lành dữ
,,,
,,,
,,,
,,,
"１91
N5",出,Xuất,Lấy ra
訓,出る,でる,"đi ra, xuất hiện"
,出す,だす,lấy ra
音： しゅつ,出場,しゅつじょう,"trình diễn, ra mắt"
,出版,しゅっぱん,xuất bản
,輸出,ゆしゅつ,nhập khảu
"１92
N2",凹,Ao,Lõm
訓,凹む,へこむ,lõm
音： おう,凹地,おうち,"cái hầm, chổ lõm"
,凹面,おうめん,"mặt lõm, kính lõm"
,凹型,おうがた,hình dạng lõm
,*凸凹,でこぼこ,lồi lõm
"１93
N2",凸,Đột,Lồi
音： とつ,凸面,とつめん,chổ lòi
,凸版,とっぱん,bản in nổi
,凹凸,おうとつ,lồi lõm
"１94
N5",刀,Đao,"Cây đao, dao"
訓,刀,かたな,"cây đao, dao"
音： とう,一刀,いっとう,một đao
,宝刀,ほうとう,gươm quý
,短刀,たんとう,kiếm ngắn
,帯刀,たいとう,đeo gươm
１95,刂,Bộ đao,
"１96
N2",刃,Nhận,Lưỡi dao
訓,刃,は,lưỡi dao
音: じん,自刃,じじん,tự sát bằng gươm
,兵刃,へいじん,lưỡi thanh gươm
,防刃,ぼうじん,chống đâm thủng
,凶刃,きょうじん,thích khách có dao găm
"１97
N5",切,Thiết,Cắt
訓,切る,きる,cắt
